,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age
0,1927/28 (1st),Emil Jannings ‡[A],Grand Duke Sergius Alexander,The Last Command,[7],/wiki/The_Last_Command_(1928_film),True,,
1,1927/28 (1st),Emil Jannings ‡[A],August Schilling,The Way of All Flesh,[7],/wiki/The_Way_of_All_Flesh_(1927_film),True,,
2,1927/28 (1st),Richard Barthelmess,Nickie Elkins,The Noose,[7],/wiki/The_Noose_(film),False,,
3,1927/28 (1st),Richard Barthelmess,Patent Leather Kid,The Patent Leather Kid,[7],/wiki/The_Patent_Leather_Kid,False,,
4,1927/28 (1st),Charlie Chaplin[B],The Tramp,The Circus,[8],/wiki/The_Circus_(1928_film),False,,
5,1928/29 (2nd) [note 1],Warner Baxter ‡,The Cisco Kid,In Old Arizona,[9],/wiki/In_Old_Arizona,True,,
6,1928/29 (2nd) [note 1],George Bancroft,Thunderbolt Jim Lang,Thunderbolt,[9],/wiki/Thunderbolt_(1929_film),False,,
7,1928/29 (2nd) [note 1],Chester Morris,Chick Williams,Alibi,[9],/wiki/Alibi_(1929_film),False,,
8,1928/29 (2nd) [note 1],Paul Muni,James Dyke,The Valiant,[9],/wiki/The_Valiant_(1929_film),False,,
9,1928/29 (2nd) [note 1],Lewis Stone,Count Pahlen,The Patriot,[9],/wiki/The_Patriot_(1928_film),False,,
10,1929/30 (3rd),George Arliss ‡[C],Benjamin Disraeli,Disraeli,[10],/wiki/Disraeli_(1929_film),True,,
11,1929/30 (3rd),George Arliss,The Raja,The Green Goddess,[10],/wiki/The_Green_Goddess_(1930_film),False,,
12,1929/30 (3rd),Wallace Beery,"Butch ""Machine Gun"" Schmidt",The Big House,[10],/wiki/The_Big_House_(1930_film),False,,
13,1929/30 (3rd),Maurice Chevalier [C],Pierre Mirande,The Big Pond,[10],/wiki/The_Big_Pond,False,,
14,1929/30 (3rd),Maurice Chevalier [C],Count Alfred Renard,The Love Parade,[10],/wiki/The_Love_Parade,False,,
