,Year,Actress,Role(s),Film,Ref.,FilmLink,Won,Record,Actor,Age
0,1927/28 (1st),Janet Gaynor ‡,Diane,7th Heaven,[7],/wiki/7th_Heaven_(1927_film),True,,,
1,1927/28 (1st),Janet Gaynor ‡,Angela,Street Angel,[7],/wiki/Street_Angel_(1928_film),True,,,
2,1927/28 (1st),Janet Gaynor ‡,The Wife,Sunrise: A Song of Two Humans,[7],/wiki/Sunrise:_A_Song_of_Two_Humans,True,,,
3,1927/28 (1st),Louise Dresser,Mrs. Pleznik,A Ship Comes In,[7],/wiki/A_Ship_Comes_In,False,,,
4,1927/28 (1st),Gloria Swanson,Sadie Thompson,Sadie Thompson,[7],/wiki/Sadie_Thompson_(film),False,,,
5,1928/29 (2nd) [note 1],Mary Pickford ‡,Norma Besant,Coquette,[8],/wiki/Coquette_(film),True,,,
6,1928/29 (2nd) [note 1],Ruth Chatterton,Jacqueline Floriot,Madame X,[8],/wiki/Madame_X_(1929_film),False,,,
7,1928/29 (2nd) [note 1],Betty Compson,Carrie,The Barker,[8],/wiki/The_Barker,False,,,
8,1928/29 (2nd) [note 1],Jeanne Eagels †,Leslie Crosbie,The Letter,[8],/wiki/The_Letter_(1929_film),False,,,
9,1928/29 (2nd) [note 1],Corinne Griffith,Emma Hamilton,The Divine Lady,[8],/wiki/The_Divine_Lady,False,,,
10,1928/29 (2nd) [note 1],Bessie Love,Hank Mahoney,The Broadway Melody,[8],/wiki/The_Broadway_Melody,False,,,
11,1929/30 (3rd),Norma Shearer ‡[A],Jerry Bernard Martin,The Divorcee,[9],/wiki/The_Divorcee,True,,,
12,1929/30 (3rd),Nancy Carroll,Hallie Hobart,The Devil's Holiday,[9],/wiki/The_Devil%27s_Holiday,False,,,
13,1929/30 (3rd),Ruth Chatterton,Sarah Storm,Sarah and Son,[9],/wiki/Sarah_and_Son,False,,,
14,1929/30 (3rd),Greta Garbo[A],Anna Christie,Anna Christie,[9],/wiki/Anna_Christie_(1930_English-language_film),False,,,
15,1929/30 (3rd),Greta Garbo[A],Madame Rita Cavallini,Romance,[9],/wiki/Romance_(1930_film),False,,,
16,1929/30 (3rd),Norma Shearer,Lucia Marlett,Their Own Desire,[9],/wiki/Their_Own_Desire,False,,,
17,1929/30 (3rd),Gloria Swanson,Marion Donnell,The Trespasser,[9],/wiki/The_Trespasser_(1929_film),False,,,
18,1930/31 (4th),Marie Dressler ‡,Min Divot,Min and Bill,[10],/wiki/Min_and_Bill,True,,,
19,1930/31 (4th),Marlene Dietrich,Mademoiselle Amy Jolly,Morocco,[10],/wiki/Morocco_(film),False,,,
20,1930/31 (4th),Irene Dunne,Sabra Cravat,Cimarron,[10],/wiki/Cimarron_(1931_film),False,,,
21,1930/31 (4th),Ann Harding,Linda Seton,Holiday,[10],/wiki/Holiday_(1930_film),False,,,
22,1930/31 (4th),Norma Shearer,Jan Ashe,A Free Soul,[10],/wiki/A_Free_Soul,False,,,
23,1931/32 (5th),Helen Hayes ‡,Madelon Claudet,The Sin of Madelon Claudet,[11],/wiki/The_Sin_of_Madelon_Claudet,True,,,
24,1931/32 (5th),Marie Dressler,Emma Thatcher Smith,Emma,[11],/wiki/Emma_(1932_film),False,,,
25,1931/32 (5th),Lynn Fontanne,The Actress,The Guardsman,[11],/wiki/The_Guardsman,False,,,
26,1932/33 (6th),Katharine Hepburn ‡,Eva Lovelace,Morning Glory,[12],/wiki/Morning_Glory_(1933_film),True,,,
27,1932/33 (6th),May Robson,Apple Annie,Lady for a Day,[12],/wiki/Lady_for_a_Day,False,,,
