,Year,Film,Nominees,Source Material,FilmLink,Won,Record,Writer,Age,Ref.
0,1927/28 (1st) [note 1],7th Heaven,Benjamin Glazer,The play Seventh Heaven by Austin Strong,/wiki/7th_Heaven_(1927_film),True,,,,
1,1927/28 (1st) [note 1],Glorious Betsy,Anthony Coldeway,The play by Rida Johnson Young,/wiki/Glorious_Betsy,False,,,,
2,1927/28 (1st) [note 1],The Jazz Singer,Alfred A. Cohn,"The play & short story ""The Day of Atonement"" by Samson Raphaelson",/wiki/The_Jazz_Singer,False,,,,
3,1928/29 (2nd) [note 2],The Patriot,Hanns Kräly,"The novel by Alfred Neumann, play by Ashley Dukes & novel Paul I by Dmitry Merezhkovsky",/wiki/The_Patriot_(1928_film),True,,,,
4,1928/29 (2nd) [note 2],The Cop,Elliott J. Clawson,– (original),/wiki/The_Cop_(1928_film),False,,,,
5,1928/29 (2nd) [note 2],In Old Arizona,Tom Barry,"The short story ""The Caballero's Way"" by O. Henry",/wiki/In_Old_Arizona,False,,,,
6,1928/29 (2nd) [note 2],The Last of Mrs. Cheyney,Hanns Kräly,The play by Frederick Lonsdale,/wiki/The_Last_of_Mrs._Cheyney_(1929_film),False,,,,
7,1928/29 (2nd) [note 2],The Leatherneck,Elliott J. Clawson,– (original),/wiki/The_Leatherneck,False,,,,
8,1928/29 (2nd) [note 2],Our Dancing Daughters,Josephine Lovett,– (original),/wiki/Our_Dancing_Daughters,False,,,,
9,1928/29 (2nd) [note 2],Sal of Singapore,Elliott J. Clawson,The novel The Sentimentalists by Dale Collins,/wiki/Sal_of_Singapore,False,,,,
10,1928/29 (2nd) [note 2],Skyscraper,Elliott J. Clawson,A story by Dudley Murphy,/wiki/Skyscraper_(1928_film),False,,,,
11,1928/29 (2nd) [note 2],The Valiant,Tom Barry,The play by Holworthy Hall & Robert Middlemass,/wiki/The_Valiant_(1929_film),False,,,,
12,1928/29 (2nd) [note 2],A Woman of Affairs,Bess Meredyth,The novel The Green Hat by Michael Arlen,/wiki/A_Woman_of_Affairs,False,,,,
13,1928/29 (2nd) [note 2],Wonder of Women,Bess Meredyth,The novel The Wife of Steffen Tromholt by Hermann Sudermann,/wiki/Wonder_of_Women,False,,,,
14,1929/30 (3rd) [note 3],The Big House,Frances Marion,– (original),/wiki/The_Big_House_(1930_film),True,,,,
15,1929/30 (3rd) [note 3],All Quiet on the Western Front,Screenplay: George Abbott; Adaptation: Maxwell Anderson & Del Andrews; Dialogue: Anderson,The novel by Erich Maria Remarque,/wiki/All_Quiet_on_the_Western_Front_(1930_film),False,,,,
16,1929/30 (3rd) [note 3],Disraeli,Julien Josephson,The play by Louis N. Parker,/wiki/Disraeli_(1929_film),False,,,,
17,1929/30 (3rd) [note 3],The Divorcee,John Meehan,The novel Ex-Wife by Ursula Parrott,/wiki/The_Divorcee,False,,,,
18,1929/30 (3rd) [note 3],Street of Chance,Howard Estabrook,A story by Oliver H.P. Garrett,/wiki/Street_of_Chance_(1930_film),False,,,,
19,1930/31 (4th) [note 1],Cimarron,Howard Estabrook,The novel by Edna Ferber,/wiki/Cimarron_(1931_film),True,,,,
20,1930/31 (4th) [note 1],The Criminal Code,Seton I. Miller & Fred Niblo Jr.,The play by Martin Flavin,/wiki/The_Criminal_Code,False,,,,
21,1930/31 (4th) [note 1],Holiday,Horace Jackson,The play by Philip Barry,/wiki/Holiday_(1930_film),False,,,,
22,1930/31 (4th) [note 1],Little Caesar,Screenplay: Francis Edward Faragoh; Continuity: Robert N. Lee,The novel by W. R. Burnett,/wiki/Little_Caesar_(film),False,,,,
23,1930/31 (4th) [note 1],Skippy,Joseph L. Mankiewicz & Sam Mintz,The comic strip by Percy Crosby,/wiki/Skippy_(film),False,,,,
24,1931/32 (5th) [note 1],Bad Girl,Edwin J. Burke,The novel by Viña Delmar and play by Delmar and Brian Marlowe,/wiki/Bad_Girl_(1931_film),True,,,,
25,1931/32 (5th) [note 1],Arrowsmith,Sidney Howard,The novel by Sinclair Lewis,/wiki/Arrowsmith_(film),False,,,,
26,1931/32 (5th) [note 1],Dr. Jekyll and Mr. Hyde,Percy Heath & Samuel Hoffenstein,The novella Strange Case of Dr Jekyll and Mr Hyde by Robert Louis Stevenson,/wiki/Dr._Jekyll_and_Mr._Hyde_(1931_film),False,,,,
27,1932/33 (6th) [note 1][note 4],Little Women,Victor Heerman & Sarah Y. Mason,The novel by Louisa May Alcott,/wiki/Little_Women_(1933_film),True,,,,
28,1932/33 (6th) [note 1][note 4],Lady for a Day,Robert Riskin,"The short story ""Madame La Gimp"" by Damon Runyon",/wiki/Lady_for_a_Day,False,,,,
29,1932/33 (6th) [note 1][note 4],State Fair,Paul Green & Sonya Levien,The novel by Phil Stong,/wiki/State_Fair_(1933_film),False,,,,
30,1934 (7th) [note 1][note 5],It Happened One Night,Robert Riskin,"The short story ""Night Bus"" by Samuel Hopkins Adams",/wiki/It_Happened_One_Night,True,,,,
31,1934 (7th) [note 1][note 5],The Thin Man,Frances Goodrich & Albert Hackett,The novel by Dashiell Hammett,/wiki/The_Thin_Man_(film),False,,,,
32,1934 (7th) [note 1][note 5],Viva Villa!,Ben Hecht,"The book Viva Villa! A Recovery of the Real Pancho Villa, Peon, Bandit, Soldier, Patriot by Edgecumb Pinchon & O. B. Stade",/wiki/Viva_Villa!,False,,,,
33,1935 (8th)[note 6] [note 7][note 8],The Informer,Dudley Nichols[note 9][9],The novel by Liam O'Flaherty,/wiki/The_Informer_(1935_film),True,,,,
34,1935 (8th)[note 6] [note 7][note 8],The Lives of a Bengal Lancer,"Screenplay: Achmed Abdullah, John L. Balderston & Waldemar Young; Adaptation: Grover Jones & William Slavens McNutt",The memoir by Francis Yeats-Brown,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False,,,,
35,1935 (8th)[note 6] [note 7][note 8],Mutiny on the Bounty,"Jules Furthman, Talbot Jennings & Carey Wilson",The novel by James Norman Hall & Charles Nordhoff,/wiki/Mutiny_on_the_Bounty_(1935_film),False,,,,
36,1936 (9th),The Story of Louis Pasteur,Pierre Collings & Sheridan Gibney,(original),/wiki/The_Story_of_Louis_Pasteur,True,,,,
37,1936 (9th),After the Thin Man,Frances Goodrich & Albert Hackett,The novel The Thin Man by Dashiell Hammett,/wiki/After_the_Thin_Man,False,,,,
38,1936 (9th),Dodsworth,Sidney Howard,The play by Howard & novel by Sinclair Lewis,/wiki/Dodsworth_(film),False,,,,
39,1936 (9th),Mr. Deeds Goes to Town,Robert Riskin,"The short story ""Opera Hat"" by Bud Kelland",/wiki/Mr._Deeds_Goes_to_Town,False,,,,
40,1936 (9th),My Man Godfrey,Eric S. Hatch & Morrie Ryskind,The novel 1101 Park Avenue by Hatch,/wiki/My_Man_Godfrey,False,,,,
41,1937 (10th),The Life of Emile Zola,"Heinz Herald, Geza Herczeg & Norman Reilly Raine",The book Zola and His Time by Matthew Josephson,/wiki/The_Life_of_Emile_Zola,True,,,,
42,1937 (10th),The Awful Truth,Viña Delmar,The play by Arthur Richman,/wiki/The_Awful_Truth,False,,,,
43,1937 (10th),Captains Courageous,"Marc Connelly, Dale Van Every & John Lee Mahin",The novel Captain Courageous: A Story of the Grand Banks by Rudyard Kipling,/wiki/Captains_Courageous_(1937_film),False,,,,
44,1937 (10th),Stage Door,Morrie Ryskind & Anthony Veiller,The play by Edna Ferber & George S. Kaufman,/wiki/Stage_Door,False,,,,
45,1937 (10th),A Star Is Born,"Alan Campbell, Robert Carson & Dorothy Parker",A story by William A. Wellman & Carson,/wiki/A_Star_Is_Born_(1937_film),False,,,,
46,1938 (11th),Pygmalion,"Screenplay & Dialogue: George Bernard Shaw; Adaptation: Ian Dalrymple, Cecil Arthur Lewis & W. P. Lipscomb",The play by Shaw,/wiki/Pygmalion_(1938_film),True,,,,
47,1938 (11th),Boys Town,John Meehan & Dore Schary,A story by Schary & Eleanore Griffin,/wiki/Boys_Town_(film),False,,,,
48,1938 (11th),The Citadel,"Dalrymple, Betty Hill & Spig Wead",The novel by A. J. Cronin,/wiki/The_Citadel_(1938_film),False,,,,
49,1938 (11th),Four Daughters,Lenore Coffee & Julius J. Epstein,"The short story ""Sister Act"" by Fannie Hurst",/wiki/Four_Daughters,False,,,,
50,1938 (11th),You Can't Take It with You,Robert Riskin,The play by George S. Kaufman & Moss Hart,/wiki/You_Can%27t_Take_It_with_You_(film),False,,,,
51,1939 (12th),Gone with the Wind,Sidney Howard (p.r.),The novel by Margaret Mitchell,/wiki/Gone_with_the_Wind_(film),True,,,,
52,1939 (12th),"Goodbye, Mr. Chips","Holt Marvell, R. C. Sherriff & Claudine West",The novella by James Hilton,"/wiki/Goodbye,_Mr._Chips_(1939_film)",False,,,,
53,1939 (12th),Mr. Smith Goes to Washington,Sidney Buchman,A story by Lewis R. Foster,/wiki/Mr._Smith_Goes_to_Washington,False,,,,
54,1939 (12th),Ninotchka,"Charles Brackett, Walter Reisch & Billy Wilder",A story by Melchior Lengyel,/wiki/Ninotchka,False,,,,
55,1939 (12th),Wuthering Heights,Ben Hecht & Charles MacArthur,The novel by Emily Brontë,/wiki/Wuthering_Heights_(1939_film),False,,,,
56,1940 (13th),The Philadelphia Story,Donald Ogden Stewart,The play by Philip Barry,/wiki/The_Philadelphia_Story_(film),True,,,,
57,1940 (13th),The Grapes of Wrath,Nunnally Johnson,The novel by John Steinbeck,/wiki/The_Grapes_of_Wrath_(film),False,,,,
58,1940 (13th),Kitty Foyle,Dalton Trumbo,The novel by Christopher Morley,/wiki/Kitty_Foyle_(film),False,,,,
59,1940 (13th),The Long Voyage Home,Dudley Nichols,"The plays The Moon of the Caribees, In the Zone, Bound East for Cardiff & The Long Voyage Home by Eugene O'Neill",/wiki/The_Long_Voyage_Home,False,,,,
60,1940 (13th),Rebecca,Joan Harrison & Robert E. Sherwood,The novel by Daphne du Maurier,/wiki/Rebecca_(1940_film),False,,,,
61,1941 (14th),Here Comes Mr. Jordan,Sidney Buchman & Seton I. Miller,The play Heaven Can Wait by Harry Segall,/wiki/Here_Comes_Mr._Jordan,True,,,,
62,1941 (14th),Hold Back the Dawn,Charles Brackett & Billy Wilder,The novel by Ketti Frings,/wiki/Hold_Back_the_Dawn,False,,,,
63,1941 (14th),How Green Was My Valley,Philip Dunne,The novel by Richard Llewellyn,/wiki/How_Green_Was_My_Valley_(film),False,,,,
64,1941 (14th),The Little Foxes,Lillian Hellman,The play by Hellman,/wiki/The_Little_Foxes_(film),False,,,,
65,1941 (14th),The Maltese Falcon,John Huston,The novel by Dashiell Hammett,/wiki/The_Maltese_Falcon_(1941_film),False,,,,
66,1942 (15th),Mrs. Miniver,"George Froeschel, James Hilton, Claudine West & Arthur Wimperis",The character Mrs. Miniver from the articles by Jan Struther,/wiki/Mrs._Miniver,True,,,,
67,1942 (15th),49th Parallel,Rodney Ackland & Emeric Pressburger,A story by Pressburger,/wiki/49th_Parallel_(film),False,,,,
68,1942 (15th),The Pride of the Yankees,Herman J. Mankiewicz & Jo Swerling,A story by Paul Gallico,/wiki/The_Pride_of_the_Yankees,False,,,,
69,1942 (15th),Random Harvest,"Froeschel, West & Wimperis",The novel by Hilton,/wiki/Random_Harvest_(film),False,,,,
70,1942 (15th),The Talk of the Town,Sidney Buchman & Irwin Shaw,A story by Sidney Harmon,/wiki/The_Talk_of_the_Town_(1942_film),False,,,,
71,1943 (16th),Casablanca,"Philip G. Epstein, Julius J. Epstein & Howard Koch",The play Everybody Comes to Rick's by Joan Alison & Murray Burnett,/wiki/Casablanca_(film),True,,,,
72,1943 (16th),Holy Matrimony,Nunnally Johnson,The novel Buried Alive by Arnold Bennett,/wiki/Holy_Matrimony_(1943_film),False,,,,
73,1943 (16th),The More the Merrier,"Richard Flournoy, Lewis R. Foster, Frank Ross & Robert W. Russell",A story by Ross & Russell,/wiki/The_More_the_Merrier,False,,,,
74,1943 (16th),The Song of Bernadette,George Seaton,The novel by Franz Werfel,/wiki/The_Song_of_Bernadette_(film),False,,,,
75,1943 (16th),Watch on the Rhine,Dashiell Hammett,The play by Lillian Hellman,/wiki/Watch_on_the_Rhine,False,,,,
76,1944 (17th),Going My Way,Frank Butler & Frank Cavett,A story by Leo McCarey,/wiki/Going_My_Way,True,,,,
77,1944 (17th),Double Indemnity,Raymond Chandler & Billy Wilder,The novel Double Indemnity in Three of a Kind by James M. Cain,/wiki/Double_Indemnity,False,,,,
78,1944 (17th),Gaslight,"John L. Balderston, Walter Reisch & John Van Druten",The play Gas Light by Patrick Hamilton,/wiki/Gaslight_(1944_film),False,,,,
79,1944 (17th),Laura,"Jay Dratler, Samuel Hoffenstein & Elizabeth Reinhardt",The novel by Vera Caspary,/wiki/Laura_(1944_film),False,,,,
80,1944 (17th),Meet Me in St. Louis,Irving Brecher & Fred F. Finklehoffe,The novel by Sally Benson,/wiki/Meet_Me_in_St._Louis,False,,,,
81,1945 (18th) [10],The Lost Weekend,Charles Brackett & Billy Wilder,The novel by Charles R. Jackson,/wiki/The_Lost_Weekend_(film),True,,,,
82,1945 (18th) [10],G. I. Joe,"Leopold Atlas, Guy Endore & Philip Stevenson",The memoirs Brave Men & Here Is Your War by Ernie Pyle,/wiki/The_Story_of_G.I._Joe,False,,,,
83,1945 (18th) [10],Mildred Pierce,Ranald MacDougall,The novel by James M. Cain,/wiki/Mildred_Pierce_(film),False,,,,
84,1945 (18th) [10],Pride of the Marines,Albert Maltz,"The book Al Schmid, Marine by Roger Butterfield",/wiki/Pride_of_the_Marines,False,,,,
85,1945 (18th) [10],A Tree Grows in Brooklyn,Frank Davis & Tess Slesinger (p.n.),The novel by Betty Smith,/wiki/A_Tree_Grows_in_Brooklyn_(1945_film),False,,,,
86,1946 (19th),The Best Years of Our Lives,Robert E. Sherwood,The novella Glory for Me by MacKinlay Kantor,/wiki/The_Best_Years_of_Our_Lives,True,,,,
87,1946 (19th),Anna and the King of Siam,Sally Benson & Talbot Jennings,The novel by Margaret Landon,/wiki/Anna_and_the_King_of_Siam_(film),False,,,,
88,1946 (19th),Brief Encounter,"Anthony Havelock-Allan, David Lean & Ronald Neame",The play Still Life by Noël Coward,/wiki/Brief_Encounter,False,,,,
89,1946 (19th),The Killers,Anthony Veiller,The short story by Ernest Hemingway,/wiki/The_Killers_(1946_film),False,,,,
90,1946 (19th),"Rome, Open City",Sergio Amidei & Federico Fellini,A story by Amidei & Alberto Consiglio,"/wiki/Rome,_Open_City",False,,,,
