,Year,Film,Nominees,Ref.,FilmLink,Won,Record,Director,Age
0,2001 (74th),Shrek,Aron Warner,[12],/wiki/Shrek,True,,,
1,2001 (74th),Jimmy Neutron: Boy Genius,Steve Oedekerk & John A. Davis,[12],/wiki/Jimmy_Neutron:_Boy_Genius,False,,,
2,2001 (74th),"Monsters, Inc.",Pete Docter & John Lasseter,[12],"/wiki/Monsters,_Inc.",False,,,
3,2002 (75th),Spirited Away,Hayao Miyazaki,[25],/wiki/Spirited_Away,True,,,
4,2002 (75th),Ice Age,Chris Wedge,[25],/wiki/Ice_Age_(2002_film),False,,,
5,2002 (75th),Lilo & Stitch,Chris Sanders,[25],/wiki/Lilo_%26_Stitch,False,,,
6,2002 (75th),Spirit: Stallion of the Cimarron,Jeffrey Katzenberg,[25],/wiki/Spirit:_Stallion_of_the_Cimarron,False,,,
7,2002 (75th),Treasure Planet,Ron Clements,[25],/wiki/Treasure_Planet,False,,,
8,2003 (76th),Finding Nemo,Andrew Stanton,[26],/wiki/Finding_Nemo,True,,,
9,2003 (76th),Brother Bear,Aaron Blaise & Robert Walker,[26],/wiki/Brother_Bear,False,,,
10,2003 (76th),The Triplets of Belleville,Sylvain Chomet,[26],/wiki/The_Triplets_of_Belleville,False,,,
11,2004 (77th),The Incredibles,Brad Bird,[27],/wiki/The_Incredibles,True,,,
12,2004 (77th),Shark Tale,Bill Damaschke,[27],/wiki/Shark_Tale,False,,,
13,2004 (77th),Shrek 2,Andrew Adamson,[27],/wiki/Shrek_2,False,,,
14,2005 (78th),Wallace & Gromit: The Curse of the Were-Rabbit,Nick Park & Steve Box,[28],/wiki/Wallace_%26_Gromit:_The_Curse_of_the_Were-Rabbit,True,,,
15,2005 (78th),Corpse Bride,Mike Johnson & Tim Burton,[28],/wiki/Corpse_Bride,False,,,
16,2005 (78th),Howl's Moving Castle,Hayao Miyazaki,[28],/wiki/Howl%27s_Moving_Castle_(film),False,,,
17,2006 (79th),Happy Feet,George Miller,[29],/wiki/Happy_Feet,True,,,
18,2006 (79th),Cars,John Lasseter,[29],/wiki/Cars_(film),False,,,
19,2006 (79th),Monster House,Gil Kenan,[29],/wiki/Monster_House_(film),False,,,
20,2007 (80th),Ratatouille,Brad Bird,[30],/wiki/Ratatouille_(film),True,,,
21,2007 (80th),Persepolis,Marjane Satrapi & Vincent Paronnaud,[30],/wiki/Persepolis_(film),False,,,
22,2007 (80th),Surf's Up,Ash Brannon & Chris Buck,[30],/wiki/Surf%27s_Up_(film),False,,,
23,2008 (81st),WALL-E,Andrew Stanton,[31],/wiki/WALL-E,True,,,
