,Year,Film,Nominees,FilmLink,Won
0,1931/32 (5th),,,,False
1,1931/32 (5th),Flowers and Trees,Walt Disney,/wiki/Flowers_and_Trees,True
2,1931/32 (5th),It's Got Me Again!,Leon Schlesinger,/wiki/It%27s_Got_Me_Again!,False
3,1931/32 (5th),Mickey's Orphans,Walt Disney,/wiki/Mickey%27s_Orphans,False
4,1932/33 (6th),,,,False
5,1932/33 (6th),Three Little Pigs,Walt Disney,/wiki/Three_Little_Pigs_(film),True
6,1932/33 (6th),Building a Building,Walt Disney,/wiki/Building_a_Building,False
7,1932/33 (6th),The Merry Old Soul,Walter Lantz,/wiki/The_Merry_Old_Soul,False
8,1934 (7th),,,,False
9,1934 (7th),The Tortoise and the Hare,Walt Disney,/wiki/The_Tortoise_and_the_Hare_(film),True
10,1934 (7th),Holiday Land,Charles Mintz,/wiki/Holiday_Land,False
11,1934 (7th),Jolly Little Elves,Walter Lantz,/wiki/Jolly_Little_Elves,False
12,1935 (8th),,,,False
13,1935 (8th),Three Orphan Kittens,Walt Disney,/wiki/Three_Orphan_Kittens,True
14,1935 (8th),The Calico Dragon,Harman-Ising,/wiki/The_Calico_Dragon,False
15,1935 (8th),Who Killed Cock Robin?,Walt Disney,/wiki/Who_Killed_Cock_Robin%3F_(1935_film),False
16,1936 (9th),,,,False
17,1936 (9th),The Country Cousin,Walt Disney,/wiki/The_Country_Cousin,True
18,1936 (9th),The Old Mill Pond,Harman-Ising,/wiki/The_Old_Mill_Pond,False
19,1936 (9th),Popeye the Sailor Meets Sindbad the Sailor,Max Fleischer,/wiki/Popeye_the_Sailor_Meets_Sindbad_the_Sailor,False
20,1937 (10th),,,,False
21,1937 (10th),The Old Mill,Walt Disney,/wiki/The_Old_Mill,True
22,1937 (10th),Educated Fish,Max Fleischer,/wiki/Educated_Fish,False
23,1937 (10th),Little Match Girl,Charles Mintz,/wiki/The_Little_Match_Girl,False
24,1938 (11th),,,,False
25,1938 (11th),Ferdinand the Bull,Walt Disney,/wiki/Ferdinand_the_Bull_(film),True
26,1938 (11th),Brave Little Tailor,Walt Disney,/wiki/Brave_Little_Tailor,False
27,1938 (11th),Good Scouts,Walt Disney,/wiki/Good_Scouts,False
28,1938 (11th),Hunky and Spunky,Max Fleischer,/wiki/Hunky_and_Spunky,False
29,1938 (11th),Mother Goose Goes Hollywood,Walt Disney,/wiki/Mother_Goose_Goes_Hollywood,False
30,1939 (12th),,,,False
31,1939 (12th),The Ugly Duckling,Walt Disney,/wiki/The_Ugly_Duckling_(1939_film),True
32,1939 (12th),Detouring America,Leon Schlesinger,/wiki/Detouring_America,False
33,1939 (12th),Peace on Earth,Harman-Ising,/wiki/Peace_on_Earth_(film),False
34,1939 (12th),The Pointer,Walt Disney,/wiki/The_Pointer,False
35,1940 (13th),,,,False
36,1940 (13th),The Milky Way,Fred Quimby,/wiki/The_Milky_Way_(1940_film),True
37,1940 (13th),Puss Gets the Boot,Fred Quimby,/wiki/Puss_Gets_the_Boot,False
38,1940 (13th),A Wild Hare,Leon Schlesinger,/wiki/A_Wild_Hare,False
39,1941 (14th),,,,False
40,1941 (14th),Lend a Paw,Walt Disney,/wiki/Lend_a_Paw,True
41,1941 (14th),"Boogie Woogie Bugle Boy of Company ""B""",Walter Lantz,,False
42,1941 (14th),Hiawatha's Rabbit Hunt,Leon Schlesinger,/wiki/Hiawatha%27s_Rabbit_Hunt,False
43,1941 (14th),How War Came,Lawson Harris,,False
44,1941 (14th),The Night Before Christmas,Fred Quimby,/wiki/The_Night_Before_Christmas_(1941_film),False
45,1941 (14th),Rhapsody in Rivets,Leon Schlesinger,/wiki/Rhapsody_in_Rivets,False
46,1941 (14th),Rhythm in the Ranks,George Pal,/wiki/Puppetoons,False
47,1941 (14th),The Rookie Bear,Fred Quimby,/wiki/The_Rookie_Bear,False
48,1941 (14th),Superman,Max Fleischer,/wiki/Superman_(animated_short),False
49,1941 (14th),Truant Officer Donald,Walt Disney,/wiki/Truant_Officer_Donald,False
50,1942 (15th),,,,False
51,1942 (15th),Der Fuehrer's Face,Walt Disney,/wiki/Der_Fuehrer%27s_Face,True
52,1942 (15th),"All Out for ""V""",Paul Terry,,False
53,1942 (15th),Blitz Wolf,Fred Quimby,/wiki/Blitz_Wolf,False
54,1942 (15th),Juke Box Jamboree,Walter Lantz,,False
55,1942 (15th),Pigs in a Polka,Leon Schlesinger,/wiki/Pigs_in_a_Polka,False
56,1942 (15th),Tulips Shall Grow,George Pal,/wiki/Tulips_Shall_Grow,False
57,1943 (16th),,,,False
58,1943 (16th),The Yankee Doodle Mouse,Fred Quimby,/wiki/The_Yankee_Doodle_Mouse,True
59,1943 (16th),The 500 Hats of Bartholomew Cubbins,George Pal,/wiki/The_500_Hats_of_Bartholomew_Cubbins,False
60,1943 (16th),The Dizzy Acrobat,Walter Lantz,/wiki/The_Dizzy_Acrobat,False
61,1943 (16th),Greetings Bait!,Leon Schlesinger,,False
62,1943 (16th),Imagination,Dave Fleischer,,False
63,1943 (16th),Reason and Emotion,Walt Disney,/wiki/Reason_and_Emotion,False
