,Year,Film,Nominees,FilmLink,Won
0,1927/28 (1st),,,,False
1,1927/28 (1st),Sunrise: A Song of Two Humans,Charles Rosher Karl Struss,/wiki/Sunrise:_A_Song_of_Two_Humans,True
2,1927/28 (1st),The Devil Dancer,George Barnes,/wiki/The_Devil_Dancer,False
3,1927/28 (1st),The Magic Flame,George Barnes,/wiki/The_Magic_Flame,False
4,1927/28 (1st),Sadie Thompson,George Barnes,/wiki/Sadie_Thompson_(film),False
5,1928/29 (2nd) [note 1],,,,False
6,1928/29 (2nd) [note 1],White Shadows in the South Seas,Clyde De Vinna,/wiki/White_Shadows_in_the_South_Seas,True
7,1928/29 (2nd) [note 1],The Divine Lady,John F. Seitz,/wiki/The_Divine_Lady,False
8,1928/29 (2nd) [note 1],4 Devils,Ernest Palmer,/wiki/4_Devils,False
9,1928/29 (2nd) [note 1],In Old Arizona,Arthur Edeson,/wiki/In_Old_Arizona,False
10,1928/29 (2nd) [note 1],Our Dancing Daughters,George Barnes,/wiki/Our_Dancing_Daughters,False
11,1928/29 (2nd) [note 1],Street Angel,Ernest Palmer,/wiki/Street_Angel_(1928_film),False
12,1929/30 (3rd),,,,False
13,1929/30 (3rd),With Byrd at the South Pole,Joseph T. Rucker and Willard Van der Veer,/wiki/With_Byrd_at_the_South_Pole,True
14,1929/30 (3rd),All Quiet on the Western Front,Arthur Edeson,/wiki/All_Quiet_on_the_Western_Front_(1930_film),False
15,1929/30 (3rd),Anna Christie,William H. Daniels,/wiki/Anna_Christie_(1930_English-language_film),False
16,1929/30 (3rd),Hell's Angels,Tony Gaudio and Harry Perry,/wiki/Hell%27s_Angels_(film),False
17,1929/30 (3rd),The Love Parade,Victor Milner,/wiki/The_Love_Parade,False
18,1930/31 (4th),,,,False
19,1930/31 (4th),Tabu: A Story of the South Seas,Floyd Crosby,/wiki/Tabu:_A_Story_of_the_South_Seas,True
20,1930/31 (4th),Cimarron,Edward Cronjager,/wiki/Cimarron_(1931_film),False
21,1930/31 (4th),Morocco,Lee Garmes,/wiki/Morocco_(film),False
22,1930/31 (4th),The Right to Love,Charles Lang,/wiki/The_Right_to_Love_(1930_American_film),False
23,1930/31 (4th),Svengali,Barney McGill,/wiki/Svengali_(1931_film),False
24,1931/32 (5th),,,,False
25,1931/32 (5th),Shanghai Express,Lee Garmes,/wiki/Shanghai_Express_(film),True
26,1931/32 (5th),Arrowsmith,Ray June,/wiki/Arrowsmith_(film),False
27,1931/32 (5th),Dr. Jekyll and Mr. Hyde,Karl Struss,/wiki/Dr._Jekyll_and_Mr._Hyde_(1931_film),False
28,1932/33 (6th),,,,False
29,1932/33 (6th),A Farewell to Arms,Charles Lang,/wiki/A_Farewell_to_Arms_(1932_film),True
30,1932/33 (6th),Reunion in Vienna,George Folsey,/wiki/Reunion_in_Vienna,False
31,1932/33 (6th),The Sign of the Cross,Karl Struss,/wiki/The_Sign_of_the_Cross_(1932_film),False
32,1934 (7th),,,,False
33,1934 (7th),Cleopatra,Victor Milner,/wiki/Cleopatra_(1934_film),True
34,1934 (7th),The Affairs of Cellini,Charles Rosher,/wiki/The_Affairs_of_Cellini,False
35,1934 (7th),Operator 13,George Folsey,/wiki/Operator_13,False
36,1935 (8th),,,,False
37,1935 (8th),A Midsummer Night's Dream,Hal Mohr [note 2],/wiki/A_Midsummer_Night%27s_Dream_(1935_film),True
38,1935 (8th),Barbary Coast,Ray June,/wiki/Barbary_Coast_(film),False
39,1935 (8th),The Crusades,Victor Milner,/wiki/The_Crusades_(1935_film),False
40,1935 (8th),Les Misérables,Gregg Toland,/wiki/Les_Mis%C3%A9rables_(1935_film),False
41,1936 (9th),,,,False
42,1936 (9th),Black-and-White,Black-and-White,,False
43,1936 (9th),Anthony Adverse,Tony Gaudio,/wiki/Anthony_Adverse,True
44,1936 (9th),The General Died at Dawn,Victor Milner,/wiki/The_General_Died_at_Dawn,False
45,1936 (9th),The Gorgeous Hussy,George Folsey,/wiki/The_Gorgeous_Hussy,False
46,1936 (9th),Color (Special Achievement),Color (Special Achievement),,False
47,1936 (9th),The Garden of Allah,W. Howard Greene and Harold Rosson,/wiki/The_Garden_of_Allah_(1936_film),True
48,1937 (10th),,,,False
49,1937 (10th),Black-and-White,Black-and-White,,False
50,1937 (10th),The Good Earth,Karl Freund,/wiki/The_Good_Earth_(film),True
51,1937 (10th),Dead End,Gregg Toland,/wiki/Dead_End_(1937_film),False
52,1937 (10th),Wings over Honolulu,Joseph Valentine,/wiki/Wings_over_Honolulu,False
53,1937 (10th),Color (Special Achievement),Color (Special Achievement),,False
54,1937 (10th),A Star Is Born,W. Howard Greene,/wiki/A_Star_Is_Born_(1937_film),True
55,1938 (11th),,,,False
56,1938 (11th),Black-and-White,Black-and-White,,False
57,1938 (11th),The Great Waltz,Joseph Ruttenberg,/wiki/The_Great_Waltz_(1938_film),True
58,1938 (11th),Algiers,James Wong Howe,/wiki/Algiers_(film),False
59,1938 (11th),Army Girl,Ernest Miller and Harry J. Wild,/wiki/Army_Girl,False
60,1938 (11th),The Buccaneer,Victor Milner,/wiki/The_Buccaneer_(1938_film),False
61,1938 (11th),Jezebel,Ernest Haller,/wiki/Jezebel_(1938_film),False
62,1938 (11th),Mad About Music,Joseph Valentine,/wiki/Mad_About_Music,False
63,1938 (11th),Merrily We Live,Norbert Brodine,/wiki/Merrily_We_Live,False
64,1938 (11th),Suez,J. Peverell Marley,/wiki/Suez_(film),False
65,1938 (11th),Vivacious Lady,Robert De Grasse,/wiki/Vivacious_Lady,False
66,1938 (11th),You Can't Take It with You,Joseph Walker,/wiki/You_Can%27t_Take_It_with_You_(film),False
67,1938 (11th),The Young in Heart,Leon Shamroy,/wiki/The_Young_in_Heart,False
68,1938 (11th),Color (Special Achievement),Color (Special Achievement),,False
69,1938 (11th),Sweethearts,Oliver T. Marsh and Allen Davey,/wiki/Sweethearts_(1938_film),True
70,1939 (12th),,,,False
71,1939 (12th),Black-and-White [note 3][9],Black-and-White [note 3][9],,False
72,1939 (12th),Wuthering Heights,Gregg Toland,/wiki/Wuthering_Heights_(1939_film),True
73,1939 (12th),Stagecoach,Bert Glennon,/wiki/Stagecoach_(1939_film),False
74,1939 (12th),Color [note 4][9],Color [note 4][9],,False
75,1939 (12th),Gone with the Wind,Ernest Haller and Ray Rennahan,/wiki/Gone_with_the_Wind_(film),True
76,1939 (12th),The Private Lives of Elizabeth and Essex,Sol Polito and W. Howard Greene,/wiki/The_Private_Lives_of_Elizabeth_and_Essex,False
77,1940 (13th),,,,False
78,1940 (13th),Black-and-White,Black-and-White,,False
79,1940 (13th),Rebecca,George Barnes,/wiki/Rebecca_(1940_film),True
80,1940 (13th),Abe Lincoln in Illinois,James Wong Howe,/wiki/Abe_Lincoln_in_Illinois_(film),False
81,1940 (13th),"All This, and Heaven Too",Ernest Haller,"/wiki/All_This,_and_Heaven_Too",False
82,1940 (13th),"Arise, My Love",Charles Lang,"/wiki/Arise,_My_Love",False
83,1940 (13th),Boom Town,Harold Rosson,/wiki/Boom_Town_(film),False
84,1940 (13th),Foreign Correspondent,Rudolph Maté,/wiki/Foreign_Correspondent_(film),False
85,1940 (13th),The Letter,Tony Gaudio,/wiki/The_Letter_(1940_film),False
86,1940 (13th),The Long Voyage Home,Gregg Toland,/wiki/The_Long_Voyage_Home,False
87,1940 (13th),Spring Parade,Joseph Valentine,/wiki/Spring_Parade,False
88,1940 (13th),Waterloo Bridge,Joseph Ruttenberg,/wiki/Waterloo_Bridge_(1940_film),False
89,1940 (13th),Color,Color,,False
90,1940 (13th),The Thief of Bagdad,Georges Périnal,/wiki/The_Thief_of_Bagdad_(1940_film),True
91,1940 (13th),Bitter Sweet,Oliver T. Marsh and Allen M. Davey,/wiki/Bitter_Sweet_(1940_film),False
92,1940 (13th),The Blue Bird,Arthur C. Miller and Ray Rennahan,/wiki/The_Blue_Bird_(1940_film),False
93,1940 (13th),Down Argentine Way,Leon Shamroy and Ray Rennahan,/wiki/Down_Argentine_Way,False
94,1940 (13th),North West Mounted Police,Victor Milner and W. Howard Greene,/wiki/North_West_Mounted_Police_(film),False
95,1940 (13th),Northwest Passage,Sidney Wagner and William V. Skall,/wiki/Northwest_Passage_(film),False
96,1941 (14th),,,,False
97,1941 (14th),Black-and-White,Black-and-White,,False
98,1941 (14th),How Green Was My Valley,Arthur C. Miller,/wiki/How_Green_Was_My_Valley_(film),True
99,1941 (14th),The Chocolate Soldier,Karl Freund,/wiki/The_Chocolate_Soldier_(film),False
100,1941 (14th),Citizen Kane,Gregg Toland,/wiki/Citizen_Kane,False
101,1941 (14th),Dr. Jekyll and Mr. Hyde,Joseph Ruttenberg,/wiki/Dr._Jekyll_and_Mr._Hyde_(1941_film),False
102,1941 (14th),Here Comes Mr. Jordan,Joseph Walker,/wiki/Here_Comes_Mr._Jordan,False
103,1941 (14th),Hold Back the Dawn,Leo Tover,/wiki/Hold_Back_the_Dawn,False
104,1941 (14th),Sergeant York,Sol Polito,/wiki/Sergeant_York_(film),False
105,1941 (14th),Sun Valley Serenade,Edward Cronjager,/wiki/Sun_Valley_Serenade,False
106,1941 (14th),Sundown,Charles Lang,/wiki/Sundown_(1941_film),False
107,1941 (14th),That Hamilton Woman,Rudolph Maté,/wiki/That_Hamilton_Woman,False
108,1941 (14th),Color,Color,,False
109,1941 (14th),Blood and Sand,Ernest Palmer and Ray Rennahan,/wiki/Blood_and_Sand_(1941_film),True
110,1941 (14th),Aloma of the South Seas,"Wilfred M. Cline, Karl Struss and William E. Snyder",/wiki/Aloma_of_the_South_Seas_(1941_film),False
