,Year,Film,Costume designer(s),FilmLink,Won
0,1948 (21st) [15],,,,False
1,1948 (21st) [15],Black-and-White,Black-and-White,,False
2,1948 (21st) [15],Hamlet,Roger K. Furse,/wiki/Hamlet_(1948_film),True
3,1948 (21st) [15],B.F.'s Daughter,Irene,/wiki/B.F.%27s_Daughter,False
4,1948 (21st) [15],Color,Color,,False
5,1948 (21st) [15],Joan of Arc,Dorothy Jeakins and Karinska,/wiki/Joan_of_Arc_(1948_film),True
6,1948 (21st) [15],The Emperor Waltz,Edith Head and Gile Steele,/wiki/The_Emperor_Waltz,False
7,1949 (22nd) [16],,,,False
8,1949 (22nd) [16],Black-and-White,Black-and-White,,False
9,1949 (22nd) [16],The Heiress,Edith Head and Gile Steele,/wiki/The_Heiress,True
10,1949 (22nd) [16],Prince of Foxes,Vittorio Nino Novarese,/wiki/Prince_of_Foxes_(film),False
11,1949 (22nd) [16],Color,Color,,False
12,1949 (22nd) [16],Adventures of Don Juan,"Leah Rhodes, Travilla and Marjorie Best",/wiki/Adventures_of_Don_Juan,True
13,1949 (22nd) [16],Mother Is a Freshman,Kay Nelson,/wiki/Mother_Is_a_Freshman,False
14,1950 (23rd) [17],,,,False
15,1950 (23rd) [17],Black-and-White,Black-and-White,,False
16,1950 (23rd) [17],All About Eve,Edith Head and Charles LeMaire,/wiki/All_About_Eve,True
17,1950 (23rd) [17],Born Yesterday,Jean Louis,/wiki/Born_Yesterday_(1950_film),False
18,1950 (23rd) [17],The Magnificent Yankee,Walter Plunkett,/wiki/The_Magnificent_Yankee_(1950_film),False
19,1950 (23rd) [17],Color,Color,,False
20,1950 (23rd) [17],Samson and Delilah,"Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele and Gwen Wakeling",/wiki/Samson_and_Delilah_(1949_film),True
21,1950 (23rd) [17],The Black Rose,Michael Whittaker,/wiki/The_Black_Rose,False
22,1950 (23rd) [17],That Forsyte Woman,Walter Plunkett and Valles,/wiki/That_Forsyte_Woman,False
23,1951 (24th) [18],,,,False
24,1951 (24th) [18],Black-and-White,Black-and-White,,False
25,1951 (24th) [18],A Place in the Sun,Edith Head,/wiki/A_Place_in_the_Sun_(1951_film),True
26,1951 (24th) [18],Kind Lady,Walter Plunkett and Gile Steele (posthumously),/wiki/Kind_Lady_(1951_film),False
27,1951 (24th) [18],The Model and the Marriage Broker,Charles LeMaire and Renié,/wiki/The_Model_and_the_Marriage_Broker,False
28,1951 (24th) [18],The Mudlark,Edward Stevenson and Margaret Furse,/wiki/The_Mudlark,False
29,1951 (24th) [18],A Streetcar Named Desire,Lucinda Ballard,/wiki/A_Streetcar_Named_Desire_(1951_film),False
30,1951 (24th) [18],Color,Color,,False
31,1951 (24th) [18],An American in Paris,"Orry-Kelly, Walter Plunkett and Irene Sharaff",/wiki/An_American_in_Paris_(film),True
32,1951 (24th) [18],David and Bathsheba,Charles LeMaire and Edward Stevenson,/wiki/David_and_Bathsheba_(film),False
33,1951 (24th) [18],The Great Caruso,Helen Rose and Gile Steele (posthumously),/wiki/The_Great_Caruso,False
34,1951 (24th) [18],Quo Vadis,Herschel McCoy,/wiki/Quo_Vadis_(1951_film),False
35,1951 (24th) [18],Tales of Hoffmann,Hein Heckroth,/wiki/The_Tales_of_Hoffmann_(film),False
36,1952 (25th) [19],,,,False
37,1952 (25th) [19],Black-and-White,Black-and-White,,False
38,1952 (25th) [19],The Bad and the Beautiful,Helen Rose,/wiki/The_Bad_and_the_Beautiful,True
39,1952 (25th) [19],Affair in Trinidad,Jean Louis,/wiki/Affair_in_Trinidad,False
40,1952 (25th) [19],Carrie,Edith Head,/wiki/Carrie_(1952_film),False
41,1952 (25th) [19],My Cousin Rachel,Charles LeMaire and Dorothy Jeakins,/wiki/My_Cousin_Rachel_(1952_film),False
