,Year,Director(s),Film,Ref.,FilmLink,Won,Record,Director,Age
0,1927/28 (1st),Frank Borzage (Dramatic Picture),7th Heaven,[11],/wiki/7th_Heaven_(1927_film),True,,,
1,1927/28 (1st),Herbert Brenon (Dramatic Picture),Sorrell and Son,[11],/wiki/Sorrell_and_Son_(1927_film),False,,,
2,1927/28 (1st),King Vidor (Dramatic Picture),The Crowd,[11],/wiki/The_Crowd_(1928_film),False,,,
3,1927/28 (1st),Lewis Milestone (Comedy Picture),Two Arabian Knights,[11],/wiki/Two_Arabian_Knights,True,,,
4,1927/28 (1st),Ted Wilde (Comedy Picture),Speedy,[11],/wiki/Speedy_(film),False,,,
5,1927/28 (1st),Charlie Chaplin (Comedy Picture),The Circus[a],[12],,False,,,
6,1928/29 (2nd) [b],Frank Lloyd,The Divine Lady,[13],/wiki/The_Divine_Lady,True,,,
7,1928/29 (2nd) [b],Lionel Barrymore,Madame X,[13],/wiki/Madame_X_(1929_film),False,,,
8,1928/29 (2nd) [b],Harry Beaumont,The Broadway Melody,[13],/wiki/The_Broadway_Melody,False,,,
9,1928/29 (2nd) [b],Irving Cummings,In Old Arizona,[13],/wiki/In_Old_Arizona,False,,,
10,1928/29 (2nd) [b],Frank Lloyd,Drag,[13],/wiki/Drag_(film),False,,,
11,1928/29 (2nd) [b],Frank Lloyd,Weary River,[13],/wiki/Weary_River,False,,,
12,1928/29 (2nd) [b],Ernst Lubitsch,The Patriot,[13],/wiki/The_Patriot_(1928_film),False,,,
13,1929/30 (3rd),Lewis Milestone,All Quiet on the Western Front,[14],/wiki/All_Quiet_on_the_Western_Front_(1930_film),True,,,
14,1929/30 (3rd),Clarence Brown[c],Anna Christie,[14],/wiki/Anna_Christie_(1930_English-language_film),False,,,
15,1929/30 (3rd),Clarence Brown[c],Romance,[14],/wiki/Romance_(1930_film),False,,,
16,1929/30 (3rd),Robert Z. Leonard,The Divorcee,[14],/wiki/The_Divorcee,False,,,
17,1929/30 (3rd),Ernst Lubitsch,The Love Parade,[14],/wiki/The_Love_Parade,False,,,
18,1929/30 (3rd),King Vidor,Hallelujah!,[14],/wiki/Hallelujah_(film),False,,,
