,Year,Film,Nominees,FilmLink,Won
0,1942 (15th) [note 1],,,,False
1,1942 (15th) [note 1],The Battle of Midway,John Ford (United States Navy),/wiki/The_Battle_of_Midway_(film),True
2,1942 (15th) [note 1],Kokoda Front Line!,Ken G. Hall[4][5] (Australian News & Information Bureau),/wiki/Kokoda_Front_Line!,True
3,1942 (15th) [note 1],Moscow Strikes Back,Artkino,/wiki/Moscow_Strikes_Back,True
4,1942 (15th) [note 1],Prelude to War,Frank Capra (Office of War Information),/wiki/Prelude_to_War,True
5,1942 (15th) [note 1],"Africa, Prelude to Victory",The March of Time,"/wiki/Africa,_Prelude_to_Victory",False
6,1942 (15th) [note 1],Combat Report,United States Army Signal Corps,/wiki/Combat_Report,False
7,1942 (15th) [note 1],Conquer by the Clock,Frederic Ullman Jr. [de; fr],/wiki/Conquer_by_the_Clock,False
8,1942 (15th) [note 1],The Grain That Built a Hemisphere,Walt Disney,/wiki/The_Grain_That_Built_a_Hemisphere,False
9,1942 (15th) [note 1],"Henry Browne, Farmer",United States Department of Agriculture,"/wiki/Henry_Browne,_Farmer",False
10,1942 (15th) [note 1],High Over the Borders,National Film Board of Canada,,False
11,1942 (15th) [note 1],High Stakes in the East,The Netherlands Information Bureau,,False
12,1942 (15th) [note 1],Inside Fighting China,National Film Board of Canada,/wiki/Inside_Fighting_China,False
13,1942 (15th) [note 1],It's Everybody's War,United States Office of War Information,/wiki/It%27s_Everybody%27s_War,False
14,1942 (15th) [note 1],Listen to Britain,British Ministry of Information,/wiki/Listen_to_Britain,False
15,1942 (15th) [note 1],Little Belgium,Belgian Ministry of Information,,False
16,1942 (15th) [note 1],Little Isles of Freedom,Victor Stoloff and Edgar Loew,,False
17,1942 (15th) [note 1],Mr. Blabbermouth,United States Office of War Information,,False
18,1942 (15th) [note 1],Mr. Gardenia Jones,United States Office of War Information,,False
19,1942 (15th) [note 1],The New Spirit,Walt Disney,/wiki/The_New_Spirit,False
20,1942 (15th) [note 1],The Price of Victory,William H. Pine,/wiki/The_Price_of_Victory,False
