,Year,Film,Nominees,FilmLink,Won
0,1941 (14th),,,,False
1,1941 (14th),Churchill's Island,National Film Board of Canada,/wiki/Churchill%27s_Island,True
2,1941 (14th),Adventure in the Bronx,Film Associates,/wiki/Adventure_in_the_Bronx,False
3,1941 (14th),Bomber,United States Office for Emergency Management Film Unit,/wiki/Bomber:_A_Defense_Report_on_Film,False
4,1941 (14th),Christmas Under Fire,British Ministry of Information,/wiki/Christmas_Under_Fire,False
5,1941 (14th),Letter from Home,British Ministry of Information,/wiki/A_Letter_from_Home_(film),False
6,1941 (14th),Life of a Thoroughbred,Truman Talley,/wiki/Life_of_a_Thoroughbred,False
7,1941 (14th),Norway in Revolt,The March of Time,/wiki/Norway_in_Revolt,False
8,1941 (14th),A Place to Live,Philadelphia Housing Association,/wiki/A_Place_to_Live_(1941_film),False
9,1941 (14th),Russian Soil,Amkino,/wiki/Russian_Soil,False
10,1941 (14th),Soldiers of the Sky,Truman Talley,/wiki/Soldiers_of_the_Sky,False
11,1941 (14th),Warclouds in the Pacific,National Film Board of Canada,/wiki/Warclouds_in_the_Pacific,False
12,1942 (15th),,,,False
13,1942 (15th),Short subject and feature documentaries competed in a combined Best Documentary category.,Short subject and feature documentaries competed in a combined Best Documentary category.,,False
14,1943 (16th) [note 1] [5],,,,False
15,1943 (16th) [note 1] [5],December 7th,United States Navy,/wiki/December_7th:_The_Movie,True
16,1943 (16th) [note 1] [5],Children of Mars,RKO Radio,/wiki/Children_of_Mars,False
17,1943 (16th) [note 1] [5],Plan for Destruction,Metro-Goldwyn-Mayer,/wiki/Plan_for_Destruction,False
18,1943 (16th) [note 1] [5],Swedes in America,United States Office of War Information Overseas Motion Picture Bureau,/wiki/Swedes_in_America,False
19,1943 (16th) [note 1] [5],To the People of the United States,Walter Wanger,/wiki/To_the_People_of_the_United_States,False
20,1943 (16th) [note 1] [5],Tomorrow We Fly,United States Navy Bureau of Aeronautics,/wiki/Tomorrow_We_Fly,False
21,1943 (16th) [note 1] [5],Youth in Crisis,The March of Time,/wiki/Youth_in_Crisis,False
22,1944 (17th),,,,False
23,1944 (17th),With the Marines at Tarawa,United States Marine Corps,/wiki/With_the_Marines_at_Tarawa,True
24,1944 (17th),Hymn of the Nations,United States Office of War Information Overseas Motion Picture Bureau,/wiki/Hymn_of_the_Nations,False
25,1944 (17th),New Americans,RKO Radio,/wiki/New_Americans_(film),False
26,1945 (18th),,,,False
27,1945 (18th),Hitler Lives?,Gordon Hollingshead,/wiki/Hitler_Lives,True
28,1945 (18th),Library of Congress,United States Office of War Information Overseas Motion Picture Bureau,/wiki/Library_of_Congress_(film),False
29,1945 (18th),To the Shores of Iwo Jima,United States Marine Corps,/wiki/To_the_Shores_of_Iwo_Jima,False
30,1946 (19th),,,,False
31,1946 (19th),Seeds of Destiny,United States Department of War,/wiki/Seeds_of_Destiny,True
32,1946 (19th),Atomic Power,The March of Time,/wiki/Atomic_Power_(film),False
33,1946 (19th),Life at the Zoo,Artkino,/wiki/Life_at_the_Zoo,False
34,1946 (19th),Paramount News Issue #37 (Twentieth Anniversary Issue! 1927.....1947),Paramount,/wiki/Paramount_News,False
35,1946 (19th),Traffic with the Devil,Herbert Morgan,/wiki/Traffic_with_the_Devil,False
36,1947 (20th),,,,False
37,1947 (20th),First Steps,United Nations Division of Films and Visual Information,/wiki/First_Steps_(1947_film),True
