,Year,Film,Nominees,FilmLink,Won
0,1934 (7th),,,,False
1,1934 (7th),Eskimo,Conrad A. Nervig,/wiki/Eskimo_(1933_film),True
2,1934 (7th),Cleopatra,Anne Bauchens,/wiki/Cleopatra_(1934_film),False
3,1934 (7th),One Night of Love,Gene Milford,/wiki/One_Night_of_Love,False
4,1935 (8th),,,,False
5,1935 (8th),A Midsummer Night's Dream,Ralph Dawson,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),True
6,1935 (8th),David Copperfield,Robert J. Kern,/wiki/David_Copperfield_(1935_film),False
7,1935 (8th),The Informer,George Hively,/wiki/The_Informer_(1935_film),False
8,1935 (8th),Les Misérables,Barbara McLean,/wiki/Les_Mis%C3%A9rables_(1935_film),False
9,1935 (8th),The Lives of a Bengal Lancer,Ellsworth Hoagland,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False
10,1935 (8th),Mutiny on the Bounty,Margaret Booth,/wiki/Mutiny_on_the_Bounty_(1935_film),False
11,1936 (9th),,,,False
12,1936 (9th),Anthony Adverse,Ralph Dawson,/wiki/Anthony_Adverse,True
13,1936 (9th),Come and Get It,Edward Curtiss,/wiki/Come_and_Get_It_(1936_film),False
14,1936 (9th),The Great Ziegfeld,William S. Gray,/wiki/The_Great_Ziegfeld,False
15,1936 (9th),Lloyd's of London,Barbara McLean,/wiki/Lloyd%27s_of_London_(film),False
16,1936 (9th),A Tale of Two Cities,Conrad A. Nervig,/wiki/A_Tale_of_Two_Cities_(1935_film),False
17,1936 (9th),Theodora Goes Wild,Otto Meyer,/wiki/Theodora_Goes_Wild,False
18,1937 (10th),,,,False
19,1937 (10th),Lost Horizon,Gene Havlick and Gene Milford,/wiki/Lost_Horizon_(1937_film),True
20,1937 (10th),The Awful Truth,Al Clark,/wiki/The_Awful_Truth,False
21,1937 (10th),Captains Courageous,Elmo Veron,/wiki/Captains_Courageous_(1937_film),False
22,1937 (10th),The Good Earth,Basil Wrangell,/wiki/The_Good_Earth_(film),False
23,1937 (10th),One Hundred Men and a Girl,Bernard W. Burton,/wiki/One_Hundred_Men_and_a_Girl,False
24,1938 (11th),,,,False
25,1938 (11th),The Adventures of Robin Hood,Ralph Dawson,/wiki/The_Adventures_of_Robin_Hood,True
26,1938 (11th),Alexander's Ragtime Band,Barbara McLean,/wiki/Alexander%27s_Ragtime_Band_(film),False
27,1938 (11th),The Great Waltz,Tom Held,/wiki/The_Great_Waltz_(1938_film),False
28,1938 (11th),Test Pilot,Tom Held,/wiki/Test_Pilot_(film),False
29,1938 (11th),You Can't Take It with You,Gene Havlick,/wiki/You_Can%27t_Take_It_with_You_(film),False
30,1939 (12th),,,,False
31,1939 (12th),Gone with the Wind,Hal C. Kern and James E. Newcom,/wiki/Gone_with_the_Wind_(film),True
32,1939 (12th),"Goodbye, Mr. Chips",Charles Frend,"/wiki/Goodbye,_Mr._Chips_(1939_film)",False
33,1939 (12th),Mr. Smith Goes to Washington,Gene Havlick and Al Clark,/wiki/Mr._Smith_Goes_to_Washington,False
34,1939 (12th),The Rains Came,Barbara McLean,/wiki/The_Rains_Came,False
35,1939 (12th),Stagecoach,Otho Lovering and Dorothy Spencer,/wiki/Stagecoach_(1939_film),False
36,1940 (13th),,,,False
37,1940 (13th),North West Mounted Police,Anne Bauchens,/wiki/North_West_Mounted_Police_(film),True
38,1940 (13th),The Grapes of Wrath,Robert L. Simpson,/wiki/The_Grapes_of_Wrath_(film),False
39,1940 (13th),The Letter,Warren Low,/wiki/The_Letter_(1940_film),False
40,1940 (13th),The Long Voyage Home,Sherman Todd,/wiki/The_Long_Voyage_Home,False
41,1940 (13th),Rebecca,Hal C. Kern,/wiki/Rebecca_(1940_film),False
42,1941 (14th),,,,False
43,1941 (14th),Sergeant York,William Holmes,/wiki/Sergeant_York_(film),True
44,1941 (14th),Citizen Kane,Robert Wise,/wiki/Citizen_Kane,False
45,1941 (14th),Dr. Jekyll and Mr. Hyde,Harold F. Kress,/wiki/Dr._Jekyll_and_Mr._Hyde_(1941_film),False
46,1941 (14th),How Green Was My Valley,James B. Clark,/wiki/How_Green_Was_My_Valley_(film),False
47,1941 (14th),The Little Foxes,Daniel Mandell,/wiki/The_Little_Foxes_(film),False
48,1942 (15th),,,,False
49,1942 (15th),The Pride of the Yankees,Daniel Mandell,/wiki/The_Pride_of_the_Yankees,True
50,1942 (15th),Mrs. Miniver,Harold F. Kress,/wiki/Mrs._Miniver,False
51,1942 (15th),The Talk of the Town,Otto Meyer,/wiki/The_Talk_of_the_Town_(1942_film),False
52,1942 (15th),This Above All,Walter Thompson,/wiki/This_Above_All_(film),False
53,1942 (15th),Yankee Doodle Dandy,George Amy,/wiki/Yankee_Doodle_Dandy,False
54,1943 (16th),,,,False
55,1943 (16th),Air Force,George Amy,/wiki/Air_Force_(film),True
56,1943 (16th),Casablanca,Owen Marks,/wiki/Casablanca_(film),False
57,1943 (16th),Five Graves to Cairo,Doane Harrison,/wiki/Five_Graves_to_Cairo,False
58,1943 (16th),For Whom the Bell Tolls,Sherman Todd and John F. Link Sr.,/wiki/For_Whom_the_Bell_Tolls_(film),False
59,1943 (16th),The Song of Bernadette,Barbara McLean,/wiki/The_Song_of_Bernadette_(film),False
60,1944 (17th),,,,False
61,1944 (17th),Wilson,Barbara McLean,/wiki/Wilson_(1944_film),True
62,1944 (17th),Going My Way,LeRoy Stone,/wiki/Going_My_Way,False
63,1944 (17th),Janie,Owen Marks,/wiki/Janie_(1944_film),False
64,1944 (17th),None but the Lonely Heart,Roland Gross,/wiki/None_but_the_Lonely_Heart_(film),False
65,1944 (17th),Since You Went Away,Hal C. Kern and James E. Newcom,/wiki/Since_You_Went_Away,False
66,1945 (18th),,,,False
