,Year,Film,Nominees,FilmLink,Won
0,1931–32 (5th) [note 1][3],,,,False
1,1931–32 (5th) [note 1][3],Comedy,Comedy,,False
2,1931–32 (5th) [note 1][3],The Music Box,Hal Roach,/wiki/The_Music_Box,True
3,1931–32 (5th) [note 1][3],The Loud Mouth,Mack Sennett,/wiki/The_Loud_Mouth,False
4,1931–32 (5th) [note 1][3],Scratch-As-Catch-Can,RKO Radio,/wiki/Scratch-As-Catch-Can,False
5,1931–32 (5th) [note 1][3],Novelty,Novelty,,False
6,1931–32 (5th) [note 1][3],Wrestling Swordfish,Mack Sennett,/wiki/Wrestling_Swordfish,True
7,1931–32 (5th) [note 1][3],Screen Souvenirs,Paramount Publix,/wiki/Screen_Souvenirs,False
8,1931–32 (5th) [note 1][3],Swing High,Metro-Goldwyn-Mayer,/wiki/Swing_High,False
9,1932–33 (6th),,,,False
10,1932–33 (6th),Comedy,Comedy,,False
11,1932–33 (6th),So This Is Harris!,Louis Brock,/wiki/So_This_Is_Harris,True
12,1932–33 (6th),Mister Mugg,Warren Doane,/wiki/Mister_Mugg,False
13,1932–33 (6th),A Preferred List,Louis Brock,/wiki/A_Preferred_List,False
14,1932–33 (6th),Novelty,Novelty,,False
15,1932–33 (6th),Krakatoa,Joe Rock,/wiki/Krakatoa_(film),True
16,1932–33 (6th),Menu,Pete Smith,/wiki/Menu_(film),False
17,1932–33 (6th),The Sea,Educational,/wiki/The_Sea_(1933_film),False
18,1934 (7th),,,,False
19,1934 (7th),Comedy,Comedy,,False
20,1934 (7th),La Cucaracha,Kenneth Macgowan,/wiki/La_Cucaracha_(1934_film),True
21,1934 (7th),Men in Black,Jules White,/wiki/Men_in_Black_(1934_film),False
22,1934 (7th),"What, No Men!",Warner Bros.,"/wiki/What,_No_Men!",False
23,1934 (7th),Novelty,Novelty,,False
24,1934 (7th),City of Wax,Stacy Woodard and Horace Woodard,/wiki/City_of_Wax,True
25,1934 (7th),Bosom Friends,Skibo Productions,/wiki/Bosom_Friends,False
26,1934 (7th),Strikes and Spares,Pete Smith,/wiki/Strikes_and_Spares,False
27,1935 (8th),,,,False
28,1935 (8th),Comedy,Comedy,,False
29,1935 (8th),How to Sleep,Jack Chertok,/wiki/How_to_Sleep,True
30,1935 (8th),"Oh, My Nerves",Jules White,"/wiki/Oh,_My_Nerves",False
31,1935 (8th),Tit for Tat,Hal Roach,/wiki/Tit_for_Tat_(1935_film),False
32,1935 (8th),Novelty,Novelty,,False
33,1935 (8th),Wings Over Everest,Gaumont British and Skibo Productions,/wiki/Wings_Over_Everest,True
34,1935 (8th),Audioscopiks,Pete Smith,/wiki/Audioscopiks,False
35,1935 (8th),Camera Thrills,Universal,/wiki/Camera_Thrills,False
36,1936 (9th),,,,False
37,1936 (9th),Color,Color,,False
38,1936 (9th),Give Me Liberty,Warner Bros.,/wiki/Give_Me_Liberty_(1936_film),True
39,1936 (9th),La Fiesta de Santa Barbara,Louis Lewyn,/wiki/La_Fiesta_de_Santa_Barbara,False
40,1936 (9th),Popular Science J-6-2,Paramount,/wiki/Popular_Science_(film),False
41,1936 (9th),One-Reel,One-Reel,,False
42,1936 (9th),Bored of Education,Hal Roach,/wiki/Bored_of_Education,True
43,1936 (9th),Moscow Moods,Paramount,/wiki/Moscow_Moods,False
44,1936 (9th),"Wanted, a Master",Pete Smith,/wiki/Wanted_%E2%80%93_A_Master,False
45,1936 (9th),Two-Reel,Two-Reel,,False
46,1936 (9th),The Public Pays,Metro-Goldwyn-Mayer,/wiki/The_Public_Pays,True
47,1936 (9th),Double or Nothing,Warner Bros.,/wiki/Double_or_Nothing_(1936_film),False
48,1936 (9th),Dummy Ache,RKO Radio,/wiki/Dummy_Ache,False
49,1937 (10th),,,,False
50,1937 (10th),Color,Color,,False
51,1937 (10th),Penny Wisdom,Pete Smith,/wiki/Penny_Wisdom,True
52,1937 (10th),The Man Without a Country,Warner Bros.,/wiki/The_Man_Without_a_Country_(1937_film),False
53,1937 (10th),Popular Science J-7-1,Paramount,/wiki/Popular_Science_(film),False
54,1937 (10th),One-Reel,One-Reel,,False
55,1937 (10th),The Private Life of the Gannets,Skibo Productions,/wiki/The_Private_Life_of_the_Gannets,True
56,1937 (10th),A Night at the Movies,Metro-Goldwyn-Mayer,/wiki/A_Night_at_the_Movies_(film),False
57,1937 (10th),Romance of Radium,Pete Smith,/wiki/Romance_of_Radium,False
58,1937 (10th),Two-Reel,Two-Reel,,False
59,1937 (10th),Torture Money,Metro-Goldwyn-Mayer,/wiki/Torture_Money,True
60,1937 (10th),Deep South,RKO Radio,/wiki/Deep_South_(film),False
