,Year,Film,Nominees,FilmLink,Won
0,1964 (37th),,,,False
1,1964 (37th),7 Faces of Dr. Lao,William J. Tuttle,/wiki/7_Faces_of_Dr._Lao,False
2,1968 (41st),,,,False
3,1968 (41st),Planet of the Apes,John Chambers,/wiki/Planet_of_the_Apes_(1968_film),False
4,1981 (54th),,,,False
5,1981 (54th),An American Werewolf in London,Rick Baker,/wiki/An_American_Werewolf_in_London,True
6,1981 (54th),Heartbeeps,Stan Winston,/wiki/Heartbeeps,False
7,1982 (55th),,,,False
8,1982 (55th),Quest for Fire,Sarah Monzani and Michèle Burke,/wiki/Quest_for_Fire_(film),True
9,1982 (55th),Gandhi,Tom Smith,/wiki/Gandhi_(film),False
10,1983 (56th),,,,False
11,1983 (56th),No award given,No award given,,False
12,1984 (57th),,,,False
13,1984 (57th),Amadeus,Paul LeBlanc and Dick Smith,/wiki/Amadeus_(film),True
14,1984 (57th),2010,Michael Westmore,/wiki/2010:_The_Year_We_Make_Contact,False
15,1984 (57th),"Greystoke: The Legend of Tarzan, Lord of the Apes",Rick Baker and Paul Engelen,"/wiki/Greystoke:_The_Legend_of_Tarzan,_Lord_of_the_Apes",False
16,1985 (58th),,,,False
17,1985 (58th),Mask,Michael Westmore and Zoltan Elek,/wiki/Mask_(1985_film),True
18,1985 (58th),The Color Purple,Ken Chase,/wiki/The_Color_Purple_(1985_film),False
19,1985 (58th),Remo Williams: The Adventure Begins,Carl Fullerton,/wiki/Remo_Williams:_The_Adventure_Begins,False
20,1986 (59th),,,,False
21,1986 (59th),The Fly,Chris Walas and Stephan Dupuis,/wiki/The_Fly_(1986_film),True
22,1986 (59th),The Clan of the Cave Bear,Michael Westmore and Michèle Burke,/wiki/The_Clan_of_the_Cave_Bear_(film),False
23,1986 (59th),Legend,Rob Bottin and Peter Robb-King,/wiki/Legend_(1985_film),False
24,1987 (60th),,,,False
25,1987 (60th),Harry and the Hendersons,Rick Baker,/wiki/Harry_and_the_Hendersons,True
26,1987 (60th),Happy New Year,Bob Laden,/wiki/Happy_New_Year_(1987_film),False
27,1988 (61st),,,,False
28,1988 (61st),Beetlejuice,"Ve Neill, Steve La Porte, and Robert Short",/wiki/Beetlejuice,True
29,1988 (61st),Coming to America,Rick Baker,/wiki/Coming_to_America,False
30,1988 (61st),Scrooged,Thomas R. Burman and Bari Dreiband-Burman,/wiki/Scrooged,False
31,1989 (62nd),,,,False
32,1989 (62nd),Driving Miss Daisy,"Manlio Rocchetti, Lynn Barber, and Kevin Haney",/wiki/Driving_Miss_Daisy,True
33,1989 (62nd),The Adventures of Baron Munchausen,Maggie Weston and Fabrizio Sforza,/wiki/The_Adventures_of_Baron_Munchausen,False
34,1989 (62nd),Dad,"Dick Smith, Ken Diaz, and Greg Nelson",/wiki/Dad_(1989_film),False
35,1990 (63rd),,,,False
