,Year,Film,Nominees,FilmLink,Won
0,1934 (7th) [note 1],,,,False
1,1934 (7th) [note 1],One Night of Love,"Columbia Studio Music Department, Louis Silvers, head of department (Thematic music by Victor Schertzinger & Gus Kahn)",/wiki/One_Night_of_Love,True
2,1934 (7th) [note 1],The Gay Divorcee,"RKO Radio Studio Music Department, Max Steiner, head of department (Score by Kenneth Webb & Sam Hoffenstein)",/wiki/The_Gay_Divorcee,False
3,1934 (7th) [note 1],The Lost Patrol,"RKO Radio Studio Music Department, Steiner, head of department (Score by Steiner)",/wiki/The_Lost_Patrol_(1934_film),False
4,1935 (8th),,,,False
5,1935 (8th),The Informer,"RKO Radio Studio Music Department, Max Steiner, head of department (Score by Steiner)",/wiki/The_Informer_(1935_film),True
6,1935 (8th),Captain Blood (write-in)[note 2][9],"Warner Bros.-First National Studio Music Department, Leo F. Forbstein, head of department (Score by Erich Wolfgang Korngold)",,False
7,1935 (8th),Mutiny on the Bounty,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department (Score by Herbert Stothart)",/wiki/Mutiny_on_the_Bounty_(1935_film),False
8,1935 (8th),Peter Ibbetson,"Paramount Studio Music Department, Irvin Talbot, head of department (Score by Ernst Toch)",/wiki/Peter_Ibbetson,False
9,1936 (9th),,,,False
10,1936 (9th),Anthony Adverse,"Warner Bros. Studio Music Department, Leo F. Forbstein, head of department (Score by Erich Wolfgang Korngold)",/wiki/Anthony_Adverse,True
11,1936 (9th),The Charge of the Light Brigade,"Warner Bros. Studio Music Department, Forbstein, head of department (Score by Max Steiner)",/wiki/The_Charge_of_the_Light_Brigade_(1936_film),False
12,1936 (9th),The Garden of Allah,"Selznick International Pictures Music Department, Steiner, head of department (Score by Steiner)",/wiki/The_Garden_of_Allah_(1936_film),False
13,1936 (9th),The General Died at Dawn,"Paramount Studio Music Department, Boris Morros, head of department (Score by Werner Janssen)",/wiki/The_General_Died_at_Dawn,False
14,1936 (9th),Winterset,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department (Score by Shilkret)",/wiki/Winterset_(film),False
15,1937 (10th) [note 3],,,,False
16,1937 (10th) [note 3],One Hundred Men and a Girl,"Universal Studio Music Department, Charles Previn, head of department (no composer credit)",/wiki/One_Hundred_Men_and_a_Girl,True
17,1937 (10th) [note 3],The Hurricane,"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department (Score by Newman)",/wiki/The_Hurricane_(1937_film),False
18,1937 (10th) [note 3],In Old Chicago,"20th Century-Fox Studio Music Department, Louis Silvers, head of department (no composer credit)",/wiki/In_Old_Chicago,False
19,1937 (10th) [note 3],The Life of Emile Zola,"Warner Bros. Studio Music Department, Leo F. Forbstein, head of department (Score by Max Steiner)",/wiki/The_Life_of_Emile_Zola,False
20,1937 (10th) [note 3],Lost Horizon,"Columbia Studio Music Department, Morris Stoloff, head of department (Score by Dimitri Tiomkin)",/wiki/Lost_Horizon_(1937_film),False
21,1937 (10th) [note 3],Make a Wish,"Principal Productions, Hugo Riesenfeld, head of department (Score by Riesenfeld)",/wiki/Make_a_Wish_(1937_film),False
22,1937 (10th) [note 3],Maytime,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department (Score by Herbert Stothart)",/wiki/Maytime_(1937_film),False
23,1937 (10th) [note 3],Portia on Trial,"Republic Studio Music Department, Alberto Colombo, head of department (Score by Colombo)",/wiki/Portia_on_Trial,False
24,1937 (10th) [note 3],The Prisoner of Zenda,"Selznick International Pictures Music Department, Alfred Newman, head of department (Score by Newman)",/wiki/The_Prisoner_of_Zenda_(1937_film),False
25,1937 (10th) [note 3],Quality Street,"RKO Radio Studio Music Department, Roy Webb, head of department (Score by Webb)",/wiki/Quality_Street_(1937_film),False
26,1937 (10th) [note 3],Snow White and the Seven Dwarfs,"Walt Disney Studio Music Department, Leigh Harline, head of department (Score by Frank Churchill, Harline & Paul Smith)",/wiki/Snow_White_and_the_Seven_Dwarfs_(1937_film),False
27,1937 (10th) [note 3],Something to Sing About,"Grand National Studio Music Department, Constantin Bakaleinikoff, head of department (Score by Victor Schertzinger)",/wiki/Something_to_Sing_About_(1937_film),False
28,1937 (10th) [note 3],Souls at Sea,"Paramount Studio Music Department, Boris Morros, head of department (Score by W. Franke Harling & Milan Roder)",/wiki/Souls_at_Sea,False
29,1937 (10th) [note 3],Way Out West,"Hal Roach Studio Music Department, Marvin Hatley, head of department (Score by Hatley)",/wiki/Way_Out_West_(1937_film),False
30,1938 (11th),,,,False
31,1938 (11th),Original Score,Original Score,,False
32,1938 (11th),The Adventures of Robin Hood,Erich Wolfgang Korngold,/wiki/The_Adventures_of_Robin_Hood,True
33,1938 (11th),Army Girl,Victor Young,/wiki/Army_Girl,False
34,1938 (11th),Block-Heads,Marvin Hatley,/wiki/Block-Heads,False
35,1938 (11th),Blockade,Werner Janssen,/wiki/Blockade_(1938_film),False
36,1938 (11th),Breaking the Ice,Victor Young,/wiki/Breaking_the_Ice_(1938_film),False
37,1938 (11th),The Cowboy and the Lady,Alfred Newman,/wiki/The_Cowboy_and_the_Lady_(1938_film),False
38,1938 (11th),If I Were King,Richard Hageman,/wiki/If_I_Were_King,False
39,1938 (11th),Marie Antoinette,Herbert Stothart,/wiki/Marie_Antoinette_(1938_film),False
40,1938 (11th),Pacific Liner,Russell Bennett,/wiki/Pacific_Liner,False
41,1938 (11th),Suez,Louis Silvers,/wiki/Suez_(film),False
42,1938 (11th),The Young in Heart,Franz Waxman,/wiki/The_Young_in_Heart,False
43,1938 (11th),Scoring,Scoring,,False
44,1938 (11th),Alexander's Ragtime Band,Alfred Newman,/wiki/Alexander%27s_Ragtime_Band_(film),True
45,1938 (11th),Carefree,Victor Baravalle,/wiki/Carefree_(film),False
46,1938 (11th),Girls' School,Morris Stoloff & Gregory Stone,/wiki/Girls%27_School_(1938_film),False
47,1938 (11th),The Goldwyn Follies,Alfred Newman,/wiki/The_Goldwyn_Follies,False
48,1938 (11th),Jezebel,Max Steiner,/wiki/Jezebel_(1938_film),False
49,1938 (11th),Mad About Music,Charles Previn & Frank Skinner,/wiki/Mad_About_Music,False
50,1938 (11th),Storm Over Bengal,Cy Feuer,/wiki/Storm_Over_Bengal,False
51,1938 (11th),Sweethearts,Herbert Stothart,/wiki/Sweethearts_(1938_film),False
52,1938 (11th),There Goes My Heart,Marvin Hatley,/wiki/There_Goes_My_Heart_(film),False
53,1938 (11th),Tropic Holiday,Boris Morros,/wiki/Tropic_Holiday,False
54,1938 (11th),The Young in Heart,Franz Waxman,/wiki/The_Young_in_Heart,False
55,1939 (12th),,,,False
56,1939 (12th),Original Score,Original Score,,False
57,1939 (12th),The Wizard of Oz,Herbert Stothart,/wiki/The_Wizard_of_Oz_(1939_film),True
58,1939 (12th),Dark Victory,Max Steiner,/wiki/Dark_Victory,False
59,1939 (12th),Eternally Yours,Werner Janssen,/wiki/Eternally_Yours_(film),False
60,1939 (12th),Golden Boy,Victor Young,/wiki/Golden_Boy_(1939_film),False
61,1939 (12th),Gone with the Wind,Max Steiner,/wiki/Gone_with_the_Wind_(film),False
62,1939 (12th),Gulliver's Travels,Victor Young,/wiki/Gulliver%27s_Travels_(1939_film),False
63,1939 (12th),The Man in the Iron Mask,Lud Gluskin & Lucien Moraweck,/wiki/The_Man_in_the_Iron_Mask_(1939_film),False
64,1939 (12th),Man of Conquest,Victor Young,/wiki/Man_of_Conquest,False
65,1939 (12th),Nurse Edith Cavell,Anthony Collins,/wiki/Nurse_Edith_Cavell,False
66,1939 (12th),Of Mice and Men,Aaron Copland,/wiki/Of_Mice_and_Men_(1939_film),False
67,1939 (12th),The Rains Came,Alfred Newman,/wiki/The_Rains_Came,False
68,1939 (12th),Wuthering Heights,Alfred Newman,/wiki/Wuthering_Heights_(1939_film),False
69,1939 (12th),Scoring,Scoring,,False
70,1939 (12th),Stagecoach,"Richard Hageman, W. Franke Harling, John Leipold & Leo Shuken",/wiki/Stagecoach_(1939_film),True
71,1939 (12th),Babes in Arms,Roger Edens & Georgie Stoll,/wiki/Babes_in_Arms_(film),False
72,1939 (12th),First Love,Charles Previn,/wiki/First_Love_(1939_film),False
73,1939 (12th),The Great Victor Herbert,Phil Boutelje & Arthur Lange,/wiki/The_Great_Victor_Herbert,False
74,1939 (12th),The Hunchback of Notre Dame,Alfred Newman,/wiki/The_Hunchback_of_Notre_Dame_(1939_film),False
75,1939 (12th),Intermezzo,Louis Forbes,/wiki/Intermezzo_(1939_film),False
76,1939 (12th),Mr. Smith Goes to Washington,Dimitri Tiomkin,/wiki/Mr._Smith_Goes_to_Washington,False
77,1939 (12th),Of Mice and Men,Aaron Copland,/wiki/Of_Mice_and_Men_(1939_film),False
78,1939 (12th),The Private Lives of Elizabeth and Essex,Erich Wolfgang Korngold,/wiki/The_Private_Lives_of_Elizabeth_and_Essex,False
79,1939 (12th),She Married a Cop,Cy Feuer,/wiki/She_Married_a_Cop,False
80,1939 (12th),Swanee River,Louis Silvers,/wiki/Swanee_River_(1939_film),False
81,1939 (12th),They Shall Have Music,Alfred Newman,/wiki/They_Shall_Have_Music,False
82,1939 (12th),Way Down South,Victor Young,/wiki/Way_Down_South_(film),False
83,1940 (13th),,,,False
84,1940 (13th),Original Score,Original Score,,False
85,1940 (13th),Pinocchio,"Leigh Harline, Paul Smith & Ned Washington",/wiki/Pinocchio_(1940_film),True
86,1940 (13th),Arizona,Victor Young,/wiki/Arizona_(1940_film),False
87,1940 (13th),Dark Command,Victor Young,/wiki/Dark_Command,False
88,1940 (13th),The Fight for Life,Louis Gruenberg,/wiki/The_Fight_for_Life,False
89,1940 (13th),The Great Dictator,Meredith Willson,/wiki/The_Great_Dictator,False
90,1940 (13th),The House of the Seven Gables,Frank Skinner,/wiki/The_House_of_the_Seven_Gables_(film),False
91,1940 (13th),The Howards of Virginia,Richard Hageman,/wiki/The_Howards_of_Virginia,False
92,1940 (13th),The Letter,Max Steiner,/wiki/The_Letter_(1940_film),False
93,1940 (13th),The Long Voyage Home,Richard Hageman,/wiki/The_Long_Voyage_Home,False
94,1940 (13th),The Mark of Zorro,Alfred Newman,/wiki/The_Mark_of_Zorro_(1940_film),False
