,Year,Film,Nominee,FilmLink,Won,Nominees,Record,Writer,Age (in years),Ref.
0,1940 (13th) [12],The Great McGinty,Preston Sturges‡,/wiki/The_Great_McGinty,True,,,,,
1,1940 (13th) [12],Angels Over Broadway,Ben Hecht,/wiki/Angels_Over_Broadway,False,,,,,
2,1940 (13th) [12],Dr. Ehrlich's Magic Bullet,"Norman Burnside, Heinz Herald & John Huston",/wiki/Dr._Ehrlich%27s_Magic_Bullet,False,,,,,
3,1940 (13th) [12],Foreign Correspondent,Charles Bennett & Joan Harrison,/wiki/Foreign_Correspondent_(film),False,,,,,
4,1940 (13th) [12],The Great Dictator,Charlie Chaplin,/wiki/The_Great_Dictator,False,,,,,
5,1941 (14th) [13],Citizen Kane,Herman J. Mankiewicz & Orson Welles‡,/wiki/Citizen_Kane,True,,,,,
6,1941 (14th) [13],The Devil and Miss Jones,Norman Krasna,/wiki/The_Devil_and_Miss_Jones,False,,,,,
7,1941 (14th) [13],Sergeant York,"Harry Chandlee, Abem Finkel, John Huston & Howard Koch",/wiki/Sergeant_York_(film),False,,,,,
8,1941 (14th) [13],"Tall, Dark and Handsome",Karl Tunberg & Darrell Ware,"/wiki/Tall,_Dark_and_Handsome",False,,,,,
9,1941 (14th) [13],"Tom, Dick and Harry",Paul Jarrico,"/wiki/Tom,_Dick_and_Harry_(1941_film)",False,,,,,
10,1942 (15th) [14],Woman of the Year,Ring Lardner Jr. & Michael Kanin‡,/wiki/Woman_of_the_Year,True,,,,,
11,1942 (15th) [14],One of Our Aircraft Is Missing,Michael Powell & Emeric Pressburger,/wiki/One_of_Our_Aircraft_Is_Missing,False,,,,,
12,1942 (15th) [14],Road to Morocco,Frank Butler & Don Hartman,/wiki/Road_to_Morocco,False,,,,,
13,1942 (15th) [14],Wake Island,W. R. Burnett & Frank Butler,/wiki/Wake_Island_(film),False,,,,,
14,1942 (15th) [14],The War Against Mrs. Hadley,George Oppenheimer,/wiki/The_War_Against_Mrs._Hadley,False,,,,,
15,1943 (16th) [15],Princess O'Rourke,Norman Krasna‡,/wiki/Princess_O%27Rourke,True,,,,,
16,1943 (16th) [15],Air Force,Dudley Nichols,/wiki/Air_Force_(film),False,,,,,
17,1943 (16th) [15],In Which We Serve,Noël Coward,/wiki/In_Which_We_Serve,False,,,,,
18,1943 (16th) [15],The North Star,Lillian Hellman,/wiki/The_North_Star_(1943_film),False,,,,,
19,1943 (16th) [15],So Proudly We Hail!,Allan Scott,/wiki/So_Proudly_We_Hail!,False,,,,,
20,1944 (17th) [16],Wilson,Lamar Trotti‡,/wiki/Wilson_(1944_film),True,,,,,
21,1944 (17th) [16],Hail the Conquering Hero,Preston Sturges,/wiki/Hail_the_Conquering_Hero,False,,,,,
22,1944 (17th) [16],The Miracle of Morgan's Creek,Preston Sturges,/wiki/The_Miracle_of_Morgan%27s_Creek,False,,,,,
23,1944 (17th) [16],Two Girls and a Sailor,Richard Connell & Gladys Lehman,/wiki/Two_Girls_and_a_Sailor,False,,,,,
24,1944 (17th) [16],Wing and a Prayer,Jerome Cady,/wiki/Wing_and_a_Prayer,False,,,,,
25,1945 (18th) [17],Marie-Louise,Richard Schweizer‡,/wiki/Marie-Louise_(film),True,,,,,
26,1945 (18th) [17],Dillinger,Philip Yordan,/wiki/Dillinger_(1945_film),False,,,,,
27,1945 (18th) [17],Music for Millions,Myles Connolly,/wiki/Music_for_Millions,False,,,,,
28,1945 (18th) [17],Salty O'Rourke,Milton Holmes,/wiki/Salty_O%27Rourke,False,,,,,
29,1945 (18th) [17],"What Next, Corporal Hargrove?",Harry Kurnitz,"/wiki/What_Next,_Corporal_Hargrove%3F",False,,,,,
30,1946 (19th) [18],The Seventh Veil,Muriel & Sydney Box‡,/wiki/The_Seventh_Veil,True,,,,,
31,1946 (19th) [18],The Blue Dahlia,Raymond Chandler,/wiki/The_Blue_Dahlia,False,,,,,
32,1946 (19th) [18],Children of Paradise,Jacques Prévert,/wiki/Children_of_Paradise,False,,,,,
33,1946 (19th) [18],Notorious,Ben Hecht,/wiki/Notorious_(1946_film),False,,,,,
34,1946 (19th) [18],Road to Utopia,Melvin Frank & Norman Panama,/wiki/Road_to_Utopia,False,,,,,
35,1947 (20th) [19],The Bachelor and the Bobby-Soxer,Sidney Sheldon‡,/wiki/The_Bachelor_and_the_Bobby-Soxer,True,,,,,
36,1947 (20th) [19],Body and Soul,Abraham Polonsky,/wiki/Body_and_Soul_(1947_film),False,,,,,
