,Year,Film,Song,Nominees,FilmLink,Won
0,1934 (7th) [19],,,,,False
1,1934 (7th) [19],The Gay Divorcee,"""The Continental""",Con Conrad (music); Herb Magidson (lyrics),/wiki/The_Gay_Divorcee,True
2,1934 (7th) [19],Flying Down to Rio,"""Carioca""",Vincent Youmans (music); Edward Eliscu & Gus Kahn (lyrics),/wiki/Flying_Down_to_Rio,False
3,1934 (7th) [19],She Loves Me Not,"""Love in Bloom""",Ralph Rainger (music); Leo Robin (lyrics),/wiki/She_Loves_Me_Not_(1934_film),False
4,1935 (8th) [20],,,,,False
5,1935 (8th) [20],Gold Diggers of 1935,"""Lullaby of Broadway""",Harry Warren (music); Al Dubin (lyrics),/wiki/Gold_Diggers_of_1935,True
6,1935 (8th) [20],Roberta,"""Lovely to Look At""",Jerome Kern (music); Dorothy Fields & Jimmy McHugh (lyrics),/wiki/Roberta_(1935_film),False
7,1935 (8th) [20],Top Hat,"""Cheek to Cheek""",Irving Berlin (music & lyrics),/wiki/Top_Hat,False
8,1936 (9th) [21],,,,,False
9,1936 (9th) [21],Swing Time,"""The Way You Look Tonight""",Jerome Kern (music); Dorothy Fields (lyrics),/wiki/Swing_Time_(film),True
10,1936 (9th) [21],Born to Dance,"""I've Got You Under My Skin""",Cole Porter (music & lyrics),/wiki/Born_to_Dance,False
11,1936 (9th) [21],Pennies from Heaven,"""Pennies from Heaven""",Arthur Johnston (music); Johnny Burke (lyrics),/wiki/Pennies_from_Heaven_(1936_film),False
12,1936 (9th) [21],"Sing, Baby, Sing","""When Did You Leave Heaven""",Richard A. Whiting (music); Walter Bullock (lyrics),"/wiki/Sing,_Baby,_Sing",False
13,1936 (9th) [21],Suzy,"""Did I Remember""",Walter Donaldson (music); Harold Adamson (lyrics),/wiki/Suzy_(film),False
14,1936 (9th) [21],The Trail of the Lonesome Pine,"""A Melody from the Sky""",Louis Alter (music); Sidney D. Mitchell (lyrics),/wiki/The_Trail_of_the_Lonesome_Pine_(1936_film),False
15,1937 (10th) [22],,,,,False
16,1937 (10th) [22],Waikiki Wedding,"""Sweet Leilani""",Harry Owens (music & lyrics),/wiki/Waikiki_Wedding,True
17,1937 (10th) [22],Artists and Models,"""Whispers in the Dark""",Friedrich Hollaender (music); Leo Robin (lyrics),/wiki/Artists_and_Models_(1937_film),False
18,1937 (10th) [22],Mr. Dodd Takes the Air,"""Remember Me""",Harry Warren (music); Al Dubin (lyrics),/wiki/Mr._Dodd_Takes_the_Air,False
19,1937 (10th) [22],Shall We Dance,"""They Can't Take That Away from Me""",George Gershwin (p.n.) (music); Ira Gershwin (lyrics),/wiki/Shall_We_Dance_(1937_film),False
20,1937 (10th) [22],Walter Wanger's Vogues of 1938,"""That Old Feeling""",Sammy Fain (music); Lew Brown (lyrics),/wiki/Walter_Wanger%27s_Vogues_of_1938,False
21,1938 (11th) [23],,,,,False
22,1938 (11th) [23],The Big Broadcast of 1938,"""Thanks for the Memory""",Ralph Rainger (music); Leo Robin (lyrics),/wiki/The_Big_Broadcast_of_1938,True
23,1938 (11th) [23],Alexander's Ragtime Band,"""Now It Can Be Told""",Irving Berlin (music & lyrics),/wiki/Alexander%27s_Ragtime_Band_(film),False
24,1938 (11th) [23],Carefree,"""Change Partners""",Irving Berlin (music & lyrics),/wiki/Carefree_(film),False
25,1938 (11th) [23],The Cowboy and the Lady,"""The Cowboy and the Lady""",Lionel Newman (music); Arthur Quenzer (lyrics),/wiki/The_Cowboy_and_the_Lady_(1938_film),False
26,1938 (11th) [23],Going Places,"""Jeepers Creepers""",Harry Warren (music); Johnny Mercer (lyrics),/wiki/Going_Places_(1938_film),False
27,1938 (11th) [23],The Lady Objects,"""A Mist Is Over the Moon""",Ben Oakland (music); Oscar Hammerstein II (lyrics),/wiki/The_Lady_Objects,False
28,1938 (11th) [23],Mannequin,"""Always and Always""",Edward Ward (music); Chet Forrest & Bob Wright (lyrics),/wiki/Mannequin_(1937_film),False
29,1938 (11th) [23],Merrily We Live,"""Merrily We Live""",Phil Charig (music); Quenzer (lyrics),/wiki/Merrily_We_Live,False
30,1938 (11th) [23],That Certain Age,"""My Own""",Jimmy McHugh (music); Harold Adamson (lyrics),/wiki/That_Certain_Age,False
31,1938 (11th) [23],Under Western Stars,"""Dust""",Johnny Marvin (music and lyrics),/wiki/Under_Western_Stars,False
32,1939 (12th) [24],,,,,False
33,1939 (12th) [24],The Wizard of Oz,"""Over the Rainbow""",Harold Arlen (music); Yip Harburg (lyrics),/wiki/The_Wizard_of_Oz_(1939_film),True
34,1939 (12th) [24],Gulliver's Travels,"""Faithful Forever""",Ralph Rainger (music); Leo Robin (lyrics),/wiki/Gulliver%27s_Travels_(1939_film),False
35,1939 (12th) [24],Love Affair,"""Wishing""",Buddy DeSylva (music and lyrics),/wiki/Love_Affair_(1939_film),False
36,1939 (12th) [24],Second Fiddle,"""I Poured My Heart into a Song""",Irving Berlin (music and lyrics),/wiki/Second_Fiddle_(1939_film),False
