,Year of Film Release,Film,Film Studio,FilmLink,Won,Film Studio/Producer(s),Producer(s)
0,1927/28 (1st),,,,False,,
1,1927/28 (1st),Wings,"Famous Players–Lasky (Lucien Hubbard, Jesse L. Lasky, B.P. Schulberg , & Adolph Zukor, producers)",/wiki/Wings_(1927_film),True,,
2,1927/28 (1st),7th Heaven,"Fox (William Fox, producer)",/wiki/7th_Heaven_(1927_film),False,,
3,1927/28 (1st),The Racket,"The Caddo Company (Howard Hughes, producer)",/wiki/The_Racket_(1928_film),False,,
4,1928/29 (2nd) [a],,,,False,,
5,1928/29 (2nd) [a],The Broadway Melody,"Metro-Goldwyn-Mayer (Irving Thalberg & Lawrence Weingarten, producers)",/wiki/The_Broadway_Melody,True,,
6,1928/29 (2nd) [a],Alibi,"Feature Productions (Roland West, producer)",/wiki/Alibi_(1929_film),False,,
7,1928/29 (2nd) [a],Hollywood Revue,"Metro-Goldwyn-Mayer (Irving Thalberg & Harry Rapf, producers)",/wiki/Hollywood_Revue,False,,
8,1928/29 (2nd) [a],In Old Arizona,"Fox (Winfield Sheehan, producer)",/wiki/In_Old_Arizona,False,,
9,1928/29 (2nd) [a],The Patriot,Paramount Famous Lasky,/wiki/The_Patriot_(1928_film),False,,
10,1929/30 (3rd),,,,False,,
11,1929/30 (3rd),All Quiet on the Western Front,"Universal (Carl Laemmle Jr., producer)",/wiki/All_Quiet_on_the_Western_Front_(1930_film),True,,
12,1929/30 (3rd),The Big House,"Cosmopolitan (Irving Thalberg, producer)",/wiki/The_Big_House_(1930_film),False,,
13,1929/30 (3rd),Disraeli,"Warner Bros. (Jack L. Warner & Darryl F. Zanuck, producers)",/wiki/Disraeli_(1929_film),False,,
14,1929/30 (3rd),The Divorcee,"Metro-Goldwyn-Mayer (Robert Z. Leonard, producer)",/wiki/The_Divorcee,False,,
15,1929/30 (3rd),The Love Parade,"Paramount Famous Lasky (Ernst Lubitsch, producer)",/wiki/The_Love_Parade,False,,
16,1930/31 (4th),,,,False,,
17,1930/31 (4th),Cimarron,"RKO Radio (William LeBaron, producer)",/wiki/Cimarron_(1931_film),True,,
18,1930/31 (4th),East Lynne,Fox,/wiki/East_Lynne_(1931_film),False,,
19,1930/31 (4th),The Front Page,"The Caddo Company (Howard Hughes & Lewis Milestone, producers)",/wiki/The_Front_Page_(1931_film),False,,
20,1930/31 (4th),Skippy,"Paramount Publix (Jesse L. Lasky, B.P. Schulberg, & Adolph Zukor, producers)",/wiki/Skippy_(film),False,,
21,1930/31 (4th),Trader Horn,"Metro-Goldwyn-Mayer (Irving Thalberg ,producer)",/wiki/Trader_Horn_(1931_film),False,,
22,1931/32 (5th),,,,False,,
23,1931/32 (5th),Grand Hotel,"Metro-Goldwyn-Mayer (Irving Thalberg, producer)",/wiki/Grand_Hotel_(1932_film),True,,
24,1931/32 (5th),Arrowsmith,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",/wiki/Arrowsmith_(film),False,,
