,Year,Film,Art director(s),FilmLink,Won,Interior decorator(s),Set decorator(s),Production designer(s)
0,1927/28  (1st),,,,False,,,
1,1927/28  (1st),The Dove,William Cameron Menzies,/wiki/The_Dove_(1927_film),True,,,
2,1927/28  (1st),Tempest,William Cameron Menzies,/wiki/Tempest_(1928_film),True,,,
3,1927/28  (1st),7th Heaven,Harry Oliver,/wiki/7th_Heaven_(1927_film),False,,,
4,1927/28  (1st),Sunrise: A Song of Two Humans,Rochus Gliese,/wiki/Sunrise:_A_Song_of_Two_Humans,False,,,
5,1928/29 (2nd) [note 1],,,,False,,,
6,1928/29 (2nd) [note 1],The Bridge of San Luis Rey,Cedric Gibbons,/wiki/The_Bridge_of_San_Luis_Rey_(1929_film),True,,,
7,1928/29 (2nd) [note 1],Alibi,William Cameron Menzies,/wiki/Alibi_(1929_film),False,,,
8,1928/29 (2nd) [note 1],The Awakening,William Cameron Menzies,/wiki/The_Awakening_(1928_film),False,,,
9,1928/29 (2nd) [note 1],Dynamite,Mitchell Leisen,/wiki/Dynamite_(1929_film),False,,,
10,1928/29 (2nd) [note 1],The Patriot,Hans Dreier,/wiki/The_Patriot_(1928_film),False,,,
11,1928/29 (2nd) [note 1],Street Angel,Harry Oliver,/wiki/Street_Angel_(1928_film),False,,,
12,1929/30  (3rd),,,,False,,,
13,1929/30  (3rd),King of Jazz,Herman Rosse,/wiki/King_of_Jazz,True,,,
14,1929/30  (3rd),Bulldog Drummond,William Cameron Menzies,/wiki/Bulldog_Drummond_(1929_film),False,,,
15,1929/30  (3rd),The Love Parade,Hans Dreier,/wiki/The_Love_Parade,False,,,
16,1929/30  (3rd),Sally,Jack Okey,/wiki/Sally_(1929_film),False,,,
17,1929/30  (3rd),The Vagabond King,Hans Dreier,/wiki/The_Vagabond_King_(1930_film),False,,,
18,1930/31  (4th),,,,False,,,
19,1930/31  (4th),Cimarron,Max Rée,/wiki/Cimarron_(1931_film),True,,,
20,1930/31  (4th),Just Imagine,Stephen Goosson and Ralph Hammeras,/wiki/Just_Imagine,False,,,
21,1930/31  (4th),Morocco,Hans Dreier,/wiki/Morocco_(film),False,,,
22,1930/31  (4th),Svengali,Anton Grot,/wiki/Svengali_(1931_film),False,,,
23,1930/31  (4th),Whoopee!,Richard Day,/wiki/Whoopee!_(film),False,,,
24,1931/32  (5th),,,,False,,,
25,1931/32  (5th),Transatlantic,Gordon Wiles,/wiki/Transatlantic_(1931_film),True,,,
26,1931/32  (5th),Arrowsmith,Richard Day,/wiki/Arrowsmith_(film),False,,,
27,1931/32  (5th),À Nous la Liberté,Lazare Meerson,/wiki/%C3%80_Nous_la_Libert%C3%A9,False,,,
28,1932/33  (6th),,,,False,,,
29,1932/33  (6th),Cavalcade,William S. Darling,/wiki/Cavalcade_(1933_film),True,,,
30,1932/33  (6th),A Farewell to Arms,Hans Dreier and Roland Anderson,/wiki/A_Farewell_to_Arms_(1932_film),False,,,
31,1932/33  (6th),When Ladies Meet,Cedric Gibbons,/wiki/When_Ladies_Meet_(1933_film),False,,,
32,1934  (7th),,,,False,,,
33,1934  (7th),The Merry Widow,Cedric Gibbons and Fredric Hope,/wiki/The_Merry_Widow_(1934_film),True,,,
34,1934  (7th),The Affairs of Cellini,Richard Day,/wiki/The_Affairs_of_Cellini,False,,,
35,1934  (7th),The Gay Divorcee,Van Nest Polglase and Carroll Clark,/wiki/The_Gay_Divorcee,False,,,
36,1935  (8th),,,,False,,,
37,1935  (8th),The Dark Angel,Richard Day,/wiki/The_Dark_Angel_(1935_film),True,,,
38,1935  (8th),The Lives of a Bengal Lancer,Hans Dreier and Roland Anderson,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False,,,
39,1935  (8th),Top Hat,Carroll Clark and Van Nest Polglase,/wiki/Top_Hat,False,,,
40,1936  (9th),,,,False,,,
41,1936  (9th),Dodsworth,Richard Day,/wiki/Dodsworth_(film),True,,,
42,1936  (9th),Anthony Adverse,Anton Grot,/wiki/Anthony_Adverse,False,,,
43,1936  (9th),The Great Ziegfeld,"Cedric Gibbons, Eddie Imazu and Edwin B. Willis",/wiki/The_Great_Ziegfeld,False,,,
44,1936  (9th),Lloyd's of London,William S. Darling,/wiki/Lloyd%27s_of_London_(film),False,,,
45,1936  (9th),The Magnificent Brute,Albert S. D'Agostino and Jack Otterson,/wiki/The_Magnificent_Brute_(1936_film),False,,,
