,Year,Film,Nominees,FilmLink,Won,Unnamed: 3
0,1929–1930 (3rd),,,,False,
1,1929–1930 (3rd),The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/The_Big_House_(1930_film),True,
2,1929–1930 (3rd),The Case of Sergeant Grischa,"RKO Radio Studio Sound Department, John Tribby",/wiki/The_Case_of_Sergeant_Grischa_(film),False,
3,1929–1930 (3rd),The Love Parade,"Paramount Famous Lasky Studio Sound Department, Franklin Hansen",/wiki/The_Love_Parade,False,
4,1929–1930 (3rd),Raffles,"United Artists Studio Sound Department, Oscar Lagerstrom",/wiki/Raffles_(1930_film),False,
5,1929–1930 (3rd),Song of the Flame,"First National Studio Sound Department, George Groves",/wiki/Song_of_the_Flame_(film),False,
6,1930–1931 (4th),,,,False,
7,1930–1931 (4th),Paramount Publix Studio Sound Department [note 1],Paramount Publix Studio Sound Department [note 1],,False,
8,1930–1931 (4th),Metro-Goldwyn-Mayer Studio Sound Department,Metro-Goldwyn-Mayer Studio Sound Department,/wiki/Metro-Goldwyn-Mayer,True,
9,1930–1931 (4th),RKO Radio Studio Sound Department,RKO Radio Studio Sound Department,/wiki/RKO_Pictures,False,
10,1930–1931 (4th),Samuel Goldwyn-United Artists Studio Sound Department,Samuel Goldwyn-United Artists Studio Sound Department,,False,
11,1931–1932 (5th),,,,False,
12,1931–1932 (5th),Paramount Publix Studio Sound Department [note 1],Paramount Publix Studio Sound Department [note 1],,False,
13,1931–1932 (5th),Metro-Goldwyn-Mayer Studio Sound Department,Metro-Goldwyn-Mayer Studio Sound Department,/wiki/Metro-Goldwyn-Mayer,True,
14,1931–1932 (5th),RKO Radio Studio Sound Department,RKO Radio Studio Sound Department,/wiki/RKO_Pictures,False,
15,1931–1932 (5th),Warner Bros.-First National Studio Sound Department,Warner Bros.-First National Studio Sound Department,,False,
16,1932–1933 (6th),,,,False,
17,1932–1933 (6th),A Farewell to Arms,"Paramount Studio Sound Department, Franklin Hansen",/wiki/A_Farewell_to_Arms_(1932_film),True,
18,1932–1933 (6th),42nd Street,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/42nd_Street_(film),False,
19,1932–1933 (6th),Gold Diggers of 1933,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/Gold_Diggers_of_1933,False,
20,1932–1933 (6th),I Am a Fugitive from a Chain Gang,"Warner Bros. Studio Sound Department, Nathan Levinson",/wiki/I_Am_a_Fugitive_from_a_Chain_Gang,False,
21,1934 (7th),,,,False,
22,1934 (7th),One Night of Love,"Columbia Studio Sound Department, John P. Livadary",/wiki/One_Night_of_Love,True,
23,1934 (7th),The Affairs of Cellini,"United Artists Studio Sound Department, Thomas T. Moulton",/wiki/The_Affairs_of_Cellini,False,
24,1934 (7th),Cleopatra,"Paramount Studio Sound Department, Franklin B. Hansen",/wiki/Cleopatra_(1934_film),False,
25,1934 (7th),Flirtation Walk,"Warner Bros.-First National Studio Sound Department, Nathan Levinson",/wiki/Flirtation_Walk,False,
26,1934 (7th),The Gay Divorcee,"RKO Radio Studio Sound Department, Carl Dreher",/wiki/The_Gay_Divorcee,False,
27,1934 (7th),Imitation of Life,"Universal Studio Sound Department, Theodore Soderberg",/wiki/Imitation_of_Life_(1934_film),False,
28,1934 (7th),Viva Villa!,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Viva_Villa!,False,
29,1934 (7th),The White Parade,"Fox Studio Sound Department, Edmund H. Hansen",/wiki/The_White_Parade,False,
30,1935 (8th),,,,False,
31,1935 (8th),Naughty Marietta,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Naughty_Marietta_(film),True,
32,1935 (8th),"$1,000 a Minute",Republic Studio Sound Department,"/wiki/1,000_Dollars_a_Minute",False,
33,1935 (8th),Bride of Frankenstein,"Universal Studio Sound Department, Gilbert Kurland",/wiki/Bride_of_Frankenstein,False,
34,1935 (8th),Captain Blood,"Warner Bros.-First National Studio Sound Department, Nathan Levinson",/wiki/Captain_Blood_(1935_film),False,
35,1935 (8th),The Dark Angel,"United Artists Studio Sound Department, Thomas T. Moulton",/wiki/The_Dark_Angel_(1935_film),False,
