,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
0,1936 (9th),Walter Brennan ‡,Swan Bostrom,Come and Get It,[8],/wiki/Come_and_Get_It_(1936_film),True,,
1,1936 (9th),Mischa Auer,Carlo,My Man Godfrey,[8],/wiki/My_Man_Godfrey,False,,
2,1936 (9th),Stuart Erwin,Amos Dodd,Pigskin Parade,[8],/wiki/Pigskin_Parade,False,,
3,1936 (9th),Basil Rathbone,Tybalt,Romeo and Juliet,[8],/wiki/Romeo_and_Juliet_(1936_film),False,,
4,1936 (9th),Akim Tamiroff,General Yang,The General Died at Dawn,[8],/wiki/The_General_Died_at_Dawn,False,,
5,1937 (10th),Joseph Schildkraut ‡,Captain Alfred Dreyfus,The Life of Emile Zola,[9],/wiki/The_Life_of_Emile_Zola,True,,
6,1937 (10th),Ralph Bellamy,Dan Leeson,The Awful Truth,[9],/wiki/The_Awful_Truth,False,,
7,1937 (10th),Thomas Mitchell,Dr. Kersaint,The Hurricane,[9],/wiki/The_Hurricane_(1937_film),False,,
8,1937 (10th),H. B. Warner,Chang,Lost Horizon,[9],/wiki/Lost_Horizon_(1937_film),False,,
9,1937 (10th),Roland Young,Cosmo Topper,Topper,[9],/wiki/Topper_(film),False,,
10,1938 (11th),Walter Brennan ‡,Peter Goodwin,Kentucky,[10],/wiki/Kentucky_(film),True,,
11,1938 (11th),John Garfield,Mickey Borden,Four Daughters,[10],/wiki/Four_Daughters,False,,
12,1938 (11th),Gene Lockhart,Regis,Algiers,[10],/wiki/Algiers_(film),False,,
13,1938 (11th),Robert Morley,King Louis XVI,Marie Antoinette,[10],/wiki/Marie_Antoinette_(1938_film),False,,
14,1938 (11th),Basil Rathbone,King Louis XI,If I Were King,[10],/wiki/If_I_Were_King,False,,
15,1939 (12th),Thomas Mitchell ‡,Dr. Josiah Boone,Stagecoach,[11],/wiki/Stagecoach_(1939_film),True,,
16,1939 (12th),Brian Aherne,Emperor Maximilian von Habsburg,Juarez,[11],/wiki/Juarez_(film),False,,
17,1939 (12th),Harry Carey Sr.,President of the Senate,Mr. Smith Goes to Washington,[11],/wiki/Mr._Smith_Goes_to_Washington,False,,
18,1939 (12th),Brian Donlevy,Sgt. Markoff,Beau Geste,[11],/wiki/Beau_Geste_(1939_film),False,,
19,1939 (12th),Claude Rains,Sen. Joseph Harrison Paine,Mr. Smith Goes to Washington,[11],/wiki/Mr._Smith_Goes_to_Washington,False,,
20,1940 (13th),Walter Brennan ‡,Judge Roy Bean,The Westerner,[12],/wiki/The_Westerner_(1940_film),True,,
21,1940 (13th),Albert Bassermann,Van Meer,Foreign Correspondent,[12],/wiki/Foreign_Correspondent_(film),False,,
22,1940 (13th),William Gargan,Joe,They Knew What They Wanted,[12],/wiki/They_Knew_What_They_Wanted_(film),False,,
23,1940 (13th),Jack Oakie,Benzino Napaloni (Dictator of Bacteria),The Great Dictator,[12],/wiki/The_Great_Dictator,False,,
24,1940 (13th),James Stephenson,Howard Joyce,The Letter,[12],/wiki/The_Letter_(1940_film),False,,
25,1941 (14th),Donald Crisp ‡,Gwilym Morgan,How Green Was My Valley,[13],/wiki/How_Green_Was_My_Valley_(film),True,,
26,1941 (14th),Walter Brennan,Pastor Rosier Pile,Sergeant York,[13],/wiki/Sergeant_York_(film),False,,
27,1941 (14th),Charles Coburn,John P. Merrick,The Devil and Miss Jones,[13],/wiki/The_Devil_and_Miss_Jones,False,,
28,1941 (14th),James Gleason,Max Corkle,Here Comes Mr. Jordan,[13],/wiki/Here_Comes_Mr._Jordan,False,,
