,Year,Actress,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
0,1936 (9th),Gale Sondergaard ‡,Faith Paleologus,Anthony Adverse,[9],/wiki/Anthony_Adverse,True,,
1,1936 (9th),Beulah Bondi,Rachel Jackson,The Gorgeous Hussy,[9],/wiki/The_Gorgeous_Hussy,False,,
2,1936 (9th),Alice Brady,Angelica Bullock,My Man Godfrey,[9],/wiki/My_Man_Godfrey,False,,
3,1936 (9th),Bonita Granville,Mary Tilford,These Three,[9],/wiki/These_Three,False,,
4,1936 (9th),Maria Ouspenskaya,Baroness Von Obersdorf,Dodsworth,[9],/wiki/Dodsworth_(film),False,,
5,1937 (10th),Alice Brady ‡,Molly O'Leary,In Old Chicago,[10],/wiki/In_Old_Chicago,True,,
6,1937 (10th),Andrea Leeds,Kay Hamilton,Stage Door,[10],/wiki/Stage_Door,False,,
7,1937 (10th),Anne Shirley,Laurel 'Lollie' Dallas,Stella Dallas,[10],/wiki/Stella_Dallas_(1937_film),False,,
8,1937 (10th),Claire Trevor,Francey,Dead End,[10],/wiki/Dead_End_(1937_film),False,,
9,1937 (10th),May Whitty,Mrs. Bramson,Night Must Fall,[10],/wiki/Night_Must_Fall_(1937_film),False,,
10,1938 (11th),Fay Bainter ‡,Aunt Belle Massey,Jezebel,[11],/wiki/Jezebel_(1938_film),True,,
11,1938 (11th),Beulah Bondi,Mary Wilkins,Of Human Hearts,[11],/wiki/Of_Human_Hearts,False,,
12,1938 (11th),Billie Burke,Emily Kilbourne,Merrily We Live,[11],/wiki/Merrily_We_Live,False,,
13,1938 (11th),Spring Byington,Penelope 'Penny' Sycamore,You Can't Take It with You,[11],/wiki/You_Can%27t_Take_It_with_You_(film),False,,
14,1938 (11th),Miliza Korjus,Carla Donner,The Great Waltz,[11],/wiki/The_Great_Waltz_(1938_film),False,,
15,1939 (12th),Hattie McDaniel ‡,'Mammy',Gone with the Wind,[12],/wiki/Gone_with_the_Wind_(film),True,,
16,1939 (12th),Olivia de Havilland,Melanie Hamilton,Gone with the Wind,[12],/wiki/Gone_with_the_Wind_(film),True,,
17,1939 (12th),Geraldine Fitzgerald,Isabella Linton,Wuthering Heights,[12],/wiki/Wuthering_Heights_(1939_film),False,,
18,1939 (12th),Edna May Oliver,Mrs. Sarah McKlennar,Drums Along the Mohawk,[12],/wiki/Drums_Along_the_Mohawk,False,,
19,1939 (12th),Maria Ouspenskaya,Grandmother Janou,Love Affair,[12],/wiki/Love_Affair_(1939_film),False,,
