,Year,Film,Nominees,FilmLink,Won
0,1927–28 (1st),,,,False
1,1927–28 (1st),Wings,Roy Pomeroy,/wiki/Wings_(1927_film),True
2,1927–28 (1st),Ralph Hammeras (photographic) [note 1],Ralph Hammeras (photographic) [note 1],,False
3,1927–28 (1st),Nugent Slaughter (photographic) [note 2],Nugent Slaughter (photographic) [note 2],,False
4,1938 (11th),,,,False
5,1938 (11th),Spawn of the North [note 3],"For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production Spawn of the North. Special Effects by Gordon Jennings, assisted by Jan Domela, Dev Jennings, Irmin Roberts and Art Smith. Transparencies by Farciot Edouart, assisted by Loyal Griggs. Sound Effects by Loren Ryder, assisted by Harry Mills, Louis Mesenkop and Walter Oberst.",,False
6,1939 (12th) [note 4],,,,False
7,1939 (12th) [note 4],The Rains Came,Fred Sersen (photographic); E. H. Hansen (sound),/wiki/The_Rains_Came,True
8,1939 (12th) [note 4],Gone with the Wind,Jack Cosgrove (photographic); Fred Albin and Arthur Johns (sound),/wiki/Gone_with_the_Wind_(film),False
9,1939 (12th) [note 4],Only Angels Have Wings,Roy Davidson (photographic); Edwin C. Hahn (sound),/wiki/Only_Angels_Have_Wings,False
10,1939 (12th) [note 4],The Private Lives of Elizabeth and Essex,Byron Haskin (photographic); Nathan Levinson (sound),/wiki/The_Private_Lives_of_Elizabeth_and_Essex,False
11,1939 (12th) [note 4],Topper Takes a Trip,Roy Seawright (photographic),/wiki/Topper_Takes_a_Trip,False
12,1939 (12th) [note 4],Union Pacific,Farciot Edouart and Gordon Jennings (photographic); Loren Ryder (sound),/wiki/Union_Pacific_(film),False
13,1939 (12th) [note 4],The Wizard of Oz,A. Arnold Gillespie (photographic); Douglas Shearer (sound),/wiki/The_Wizard_of_Oz_(1939_film),False
14,1940 (13th),,,,False
15,1940 (13th),The Thief of Bagdad,Lawrence Butler (photographic); Jack Whitney (sound),/wiki/The_Thief_of_Bagdad_(1940_film),True
16,1940 (13th),The Blue Bird,Fred Sersen (photographic); E. H. Hansen (sound),/wiki/The_Blue_Bird_(1940_film),False
17,1940 (13th),Boom Town,A. Arnold Gillespie (photographic); Douglas Shearer (sound),/wiki/Boom_Town_(film),False
18,1940 (13th),The Boys from Syracuse,John P. Fulton (photographic); Bernard B. Brown and Joseph Lapis (sound),/wiki/The_Boys_from_Syracuse_(film),False
19,1940 (13th),Dr. Cyclops,Gordon Jennings and Farciot Edouart (photographic),/wiki/Dr._Cyclops,False
20,1940 (13th),Foreign Correspondent,Paul Eagler (photographic); Thomas T. Moulton (sound),/wiki/Foreign_Correspondent_(film),False
21,1940 (13th),The Invisible Man Returns,John P. Fulton (photographic); Bernard B. Brown and William Hedgcock (sound),/wiki/The_Invisible_Man_Returns,False
22,1940 (13th),The Long Voyage Home,R. T. Layton and R. O. Binger (photographic); Thomas T. Moulton (sound),/wiki/The_Long_Voyage_Home,False
23,1940 (13th),One Million B.C.,Roy Seawright (photographic); Elmer Raguse (sound),/wiki/One_Million_B.C.,False
24,1940 (13th),Rebecca,Jack Cosgrove (photographic); Arthur Johns (sound),/wiki/Rebecca_(1940_film),False
25,1940 (13th),The Sea Hawk,Byron Haskin (photographic); Nathan Levinson (sound),/wiki/The_Sea_Hawk_(1940_film),False
26,1940 (13th),Swiss Family Robinson,Vernon L. Walker (photographic); John O. Aalberg (sound),/wiki/Swiss_Family_Robinson_(1940_film),False
27,1940 (13th),Typhoon,Farciot Edouart and Gordon Jennings (photographic); Loren Ryder (sound),/wiki/Typhoon_(1940_film),False
28,1940 (13th),Women in War,"Howard J. Lydecker, William Bradford, and Ellis J. Thackery (photographic); Herbert Norsch (sound)",/wiki/Women_in_War,False
29,1941 (14th),,,,False
