,Directed by,Written by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Title,Based on,Language,Release date,Color process,Productioncompanies,Countries,Narrated by,Adaptation by,Suggested by,Narration by,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Hangul,Hanja,Revised Romanization,McCune–Reischauer,Kana,Revised Hepburn,French,Dialogue by,Literally,Country of origin,Original language,Producer,Release,Brazilian Portuguese,Polish,Danish,Native name,Born,Died,Occupation,Nationality,Period,Created by,Alias,Affiliation,Spouse,Religion,Origin,Italian,First appearance,Last appearance,Portrayed by,Gender,Family,Children,Resting place,Education,Years active,Known for,Board member of,Partner,Relatives,Awards,Spanish,Full name,Tenure,Cause of death,Burial,Issue,House,Father,Mother,Signature,Venerated in,Beatified,Canonized,Feast,Patronage,Voiced by,Reign,Coronation,Predecessor,Successor,Regents,Alma mater,Notable work,Spouses,Portuguese,Occupation(s),Literal meaning,Jyutping,German,Animation by,Kanji,Theme song by,Trade name,Company type,Industry,Predecessors,Founded,Founders,Headquarters,Number of locations,Area served,Key people,Products,Number of employees,Parent,Divisions,Subsidiaries,Website,Founder,Defunct,Layouts by,Original title,Genre(s),Published in,Publication date,Backgrounds by,Author,Cover artist,Genre,Publisher,Media type,OCLC,Preceded by,Followed by,Illustrator,Published,Pages,Related,Original work,Book(s),Film(s),Short film(s),Animated series,Direct-to-video,Video game(s),Toy(s),Voices of,Theme music composer,Composer,Producers,Network,Author(s),Current status/schedule,Launch date,Syndicate(s),Preceded by,Editor,Production company,ISBN,No. of series,No. of episodes,Director,Distributor,Released,Runtime,Set in,Dewey Decimal,LC Class,Text,Executive producers,Original languages,Production companies,Directed by,Produced by,Written by,Music by,Studio,Licensed by,Developer,Designed by,Engine,Platform,Hebrew,Presented by,No. of seasons,Occupations,Length,Label,Music,Lyrics,Book,Productions,Recorded,Screen story by,Additional dialogue by,Dialogues by,Visual effects by,Original screenplay by,Katakana,Norwegian,Episode no.,Featured music,Editing by,Original air date,po,Russian,Executive producer,Production locations,Editors,Also known as,Opening theme,Production location,Romanian,Ukrainian,Arabic,Swedish
0,William A. Wellman,"Titles:, , Julian Johnson","Hope Loring, , Louis D. Lighton",John Monk Saunders,"Lucien Hubbard, , Adolph Zukor, , Jesse L. Lasky, , B.P. Schulberg, , Otto Hermann Kahn, , (uncredited), [1], [a]","Clara Bow, , Charles (Buddy) Rogers, , Richard Arlen, , Gary Cooper",Harry Perry,"E. Lloyd Sheldon, , Lucien Hubbard , (uncredited)","J.S. Zamecnik,  , (uncredited)",Paramount Famous Lasky Corporation,Paramount Famous Lasky Corporation,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
August 12, 1927 (1927-08-12) (New York City, premiere)
January 15, 1928 (1928-01-15) (Los Angeles)
January 5, 1929 (1929-01-05) (United States)
","Original release:, , 111 minutes, [2], , Restoration:, , 144 minutes, [3]",United States,"Sound (Synchronized), , (English Intertitles)","$2 million, [4]","$3.8 million (U.S. and Canada rentals), [5]",https://en.wikipedia.org/wiki/Wings_(1927_film),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Frank Borzage,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Harry H. Caldwell (titles)Katharine Hilliker (titles)Bernard Vorhaus (uncredited)",Benjamin Glazer,,William Fox,", Janet GaynorCharles FarrellBen Bard",", Ernest PalmerJoseph A. Valentine",Barney Wolf,,,Fox Film Corporation,", 
May 6, 1927 (1927-05-06) (Los Angeles)
May 25, 1927 (1927-05-25) (New York City)
September 10, 1927 (1927-09-10) (New York City (re-release))
",110 min,United States,,"$1.3 million, [1]","$2.5 million, [2]",https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),"Seventh Heaven, , by Austin Strong","Sound (Synchronized),  (English , intertitles, )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lewis Milestone,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Bartlett Cormack
Tom Miranda
Uncredited:
Harry Behn
",,,Howard Hughes,", Thomas MeighanMarie PrevostLouis Wolheim",Tony Gaudio,Eddie Adams,,The Caddo Company,Paramount Pictures,,84 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Racket_(1928_film),"The Racket, , 1927 play, , by , Bartlett Cormack","Silent,  (English , intertitles, )",", 
November 1, 1928 (1928-11-01)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Harry Beaumont,"Sarah Y. Mason (continuity), , Norman Houston (dialogue), , James Gleason,  (dialogue), , uncredited:, , Earl Baldwin (titles)",,Edmund Goulding,"Irving Thalberg, , Lawrence Weingarten","Charles King, , Anita Page, , Bessie Love",John Arnold,"Sam S. Zimbalist, , uncredited:, , William LeVanway (silent version)","(see , article, )",,Metro-Goldwyn-Mayer,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
February 1, 1929 (1929-02-01) (Grauman's Chinese Theatre)[1][2]
February 8, 1929 (1929-02-08) (NYC)
June 12, 1929 (1929-06-12) (US)
",100 minutes,United States,,"$379,000, [3]","$4.4 million, [3]",https://en.wikipedia.org/wiki/The_Broadway_Melody,,English,,"Black and White (with a , Technicolor,  sequence)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Roland West,Elaine Sterne Carrington,,,Roland West,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Chester MorrisMae Busch",Ray June,,,,United Artists,,90 minutes,United States,,,,https://en.wikipedia.org/wiki/Alibi_(1929_film),"Nightstick, , by , Elaine Sterne Carrington, , , J.C. Nugent, , , Elliott Nugent, , and , John Wray",English,", 
April 20, 1929 (1929-04-20)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charles Reisner,"Al Boasberg, , Robert E. Hopkins, , Joseph W. Farnham",,,"Irving Thalberg, , Harry Rapf","Conrad Nagel, , Jack Benny","John Arnold, , Max Fabian, , Irving G. Ries, , John M. Nickolaus","William S. Gray, , Cameron K. Wood","Gus Edwards, , Arthur Freed, , ("", Singin' in the Rain, ""), , Nacio Herb Brown, , (""Singin' in the Rain"")",,Metro-Goldwyn-Mayer,"June 20, 1929, , (Los Angeles), [1]","130 minutes (roadshow), , 118 min (Turner library print)",United States,,"$426,000, [2], [3]","$2,421,000 (worldwide rental), [3]",https://en.wikipedia.org/wiki/Hollywood_Revue,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Irving Cummings, , Raoul Walsh",Tom Barry,,,Winfield Sheehan,"Warner Baxter, , Edmund Lowe, , Dorothy Burgess","Arthur Edeson, , Alfred Hansen",Louis R. Loeffler,,,Fox Film Corporation,"Premiere:, ,  December 25, 1928,  (1928-12-25),  , , General release:, , January 20, 1929,  (1929-01-20)",95 minutes,United States,,,"$1.3 million, [1]",https://en.wikipedia.org/wiki/In_Old_Arizona,"The Cisco Kid,  , , by , O. Henry","English , sound film",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ernst Lubitsch,"Hanns Kräly, , Alfred Neumann,  , (Novel), , Ashley Dukes,  , (Play), , Dmitry Merezhkovsky,  , (Play)",,,,"Emil Jannings, , Florence Vidor, , Lewis Stone, , Neil Hamilton",Bert Glennon,Ernst Lubitsch,Max Bergunker,,Paramount Pictures,,113 minutes,United States,"Sound,  (Part-Talkie), , English sequences",$1 million,,https://en.wikipedia.org/wiki/The_Patriot_(1928_film),,,"August 17, 1928,  (1928-08-17)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lewis Milestone,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Maxwell Anderson (adaptation & dialogue)
George Abbott (screenplay)
Del Andrews (adaptation)
C. Gardner Sullivan (supervising story chief)
",,,Carl Laemmle Jr.,"Lew Ayres, , Louis Wolheim",Arthur Edeson,"Edgar Adams, , Milton Carruth,  (, International Sound Version, ), [2]",David Broekman,Universal Studios,Universal Pictures,,"152 minutes, [2], , 133 minutes (restored)",United States,,"$1.2 million, [3]","$3 million, [4],  (worldwide rentals)",https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film),"All Quiet on the Western Front, , 1929 novel, , by , Erich Maria Remarque",English,", 
April 21, 1930 (1930-04-21) (US)[2]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,George Hill,,"Story and dialogue by , Frances Marion, , Additional dialogue by, , Joe Farnham,  and, , Martin Flavin",,"Irving Thalberg,  (uncredited)","Chester Morris, , Wallace Beery, , Lewis Stone, , Robert Montgomery, , Leila Hyams, , George F. Marion, , J. C. Nugent",Harold Wenstrom,Blanche Sewell,no credit,A Cosmopolitan Production,Metro-Goldwyn-Mayer,,87 minutes,United States,,"$414,000, [2], [3]","$1,715,000 (worldwide rentals), [2], [3]",https://en.wikipedia.org/wiki/The_Big_House_(1930_film),,English,"June 24, 1930, [1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
